"CU","SiteName","popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment","EstClassOrig"
"CK-02","CAMPBELL RIVER",586,2015,"OtherSource","","192","192","172","17","","20","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2016,"OtherSource","","245","245","189","115","","56","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2017,"OtherSource","","161","161","121","47","","40","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2018,"OtherSource","","103","103","85","72","","18","","","","","","","","","OtherSource"
"CK-02","CAMPBELL RIVER",586,2019,"OtherSource","","36","36","","","","36","","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1984,"OtherSource","","204","204","","","","204","204","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1985,"RELATIVE ABUNDANCE (TYPE-4)","","1492","1492","1492","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1986,"OtherSource","","4469","4469","4291","344","","178","223","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1987,"OtherSource","","17271","17271","16790","16790","","481","105","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1988,"RELATIVE ABUNDANCE (TYPE-4)","","14466","14466","14466","400","","","122","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1989,"OtherSource","","3333","3333","2933","550","","400","400","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1990,"OtherSource","","1795","1795","1570","932","","225","2013","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1991,"OtherSource","","9353","9353","8392","8392","","961","706","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1992,"OtherSource","","38177","38177","35856","35856","","2321","2321","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1993,"OtherSource","","20182","20182","17834","666","","2348","2348","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1994,"OtherSource","","8237","8237","6826","1957","","1411","2740","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1995,"OtherSource","","31825","31825","29820","4820","","2005","2005","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1996,"OtherSource","","24268","24268","21928","3945","","2340","2340","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1997,"OtherSource","","82805","82805","79717","73","","3088","3088","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1998,"OtherSource","","81512","81512","78780","10258","","2732","2732","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,1999,"OtherSource","","77251","77251","74945","1393","","2306","480","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2000,"OtherSource","","71401","71401","70983","21585","","418","1415","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2001,"OtherSource","","71734","71734","68247","6320","","3487","1865","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2002,"OtherSource","","63476","63476","58852","5983","","4624","572","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2003,"OtherSource","","55126","55126","54111","2650","","1015","1216","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2004,"OtherSource","","56828","56828","54485","12490","","2343","2343","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2005,"OtherSource","","33900","33900","31099","8560","","2801","2004","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2006,"OtherSource","","48392","48392","41312","3633","","7080","825","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2007,"OtherSource","","26196","26196","23514","13085","","2682","7701","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2008,"OtherSource","","41797","41797","35732","4873","","6065","694","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2009,"OtherSource","","15188","15188","14116","9451","","1072","5075","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2010,"OtherSource","","81141","81141","74947","9975","","6194","1756","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2011,"OtherSource","","52574","52574","47986","4125","","4588","1544","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2012,"OtherSource","","20286","20286","14566","4144","","5720","5091","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2013,"OtherSource","","46456","46456","45713","5494","","743","15","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2014,"OtherSource","","50630","50630","49904","5206","","726","0","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2015,"OtherSource","","27140","27140","25849","1100","","1291","9","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2016,"OtherSource","","35202","35202","34397","3800","","805","3","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2017,"OtherSource","","21008","21008","20184","3065","","824","25","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2018,"OtherSource","","18992","18992","17810","7320","","1182","0","","","","","","","","OtherSource"
"CK-9008","CHILLIWACK/VEDDER RIVER",696,2019,"OtherSource","","72349","72349","70366","3635","","1983","3","","","","","","","","OtherSource"
"CK-16","CREIGHTON CREEK",812,1996,"QualFiltered","","","","10","","","","","","","","","","","","QualFiltered"
"CK-16","CREIGHTON CREEK",812,1998,"QualFiltered","","","","2","","","","","","","","","","","","QualFiltered"
"CK-16","CREIGHTON CREEK",812,1999,"INFILL","","","3.55833686944835","","","","","","","","","","","","","QualFiltered"
"CK-16","CREIGHTON CREEK",812,2000,"RELATIVE ABUNDANCE (TYPE-4)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-16","CREIGHTON CREEK",812,2001,"RELATIVE ABUNDANCE (TYPE-3)","","5","5","5","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2002,"RELATIVE ABUNDANCE (TYPE-3)","","3","3","3","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2003,"RELATIVE ABUNDANCE (TYPE-3)","","2","2","2","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2004,"RELATIVE ABUNDANCE (TYPE-3)","","8","8","8","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2005,"RELATIVE ABUNDANCE (TYPE-4)","","3","3","3","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-16","CREIGHTON CREEK",812,2006,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2007,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2008,"RELATIVE ABUNDANCE (TYPE-4)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-16","CREIGHTON CREEK",812,2009,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2010,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
