"popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment"
1207,2013,"RELATIVE ABUNDANCE (TYPE-4)",NA,31,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2014,"RELATIVE ABUNDANCE (TYPE-4)",NA,28,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2015,"RELATIVE ABUNDANCE (TYPE-4)",NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2016,"RELATIVE ABUNDANCE (TYPE-4)",NA,22,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2017,"RELATIVE ABUNDANCE (TYPE-4)",NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2018,"RELATIVE ABUNDANCE (TYPE-4)",NA,15,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2021,"RELATIVE ABUNDANCE (TYPE-4)",NA,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,2022,"RELATIVE ABUNDANCE (TYPE-4)",NA,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1269,1996,"OtherSource",NA,5,NA,5,0,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
1269,2000,"OtherSource",NA,40,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1269,2003,"OtherSource",NA,32,NA,32,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
1756,2009,"OtherSource",NA,2,NA,2,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA
1756,2010,"OtherSource",NA,2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1756,2011,"OtherSource",NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1756,2012,"QualFiltered",NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
1756,2013,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA
1756,2014,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1756,2017,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1756,2018,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1756,2019,"RELATIVE ABUNDANCE (TYPE-3)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1756,2020,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
