CU_ID,Species,Stock,DataType,Label,Year,Metric,Compare,LBM,UBM,Value,Status
CK-17,Chinook,Lower Thompson_SP_1.2,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-79,-25,-15,-79,Red
CK-17,Chinook,Lower Thompson_SP_1.2,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,2625,5560,NA,NA
CK-17,Chinook,Lower Thompson_SP_1.2,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,2625,5560,NA,NA
CK-18,Chinook,North Thompson_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-18,Chinook,North Thompson_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-18,Chinook,North Thompson_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-18,Chinook,North Thompson_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,54,50,75,54,Amber
CK-18,Chinook,North Thompson_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-87,-25,-15,-87,Red
CK-18,Chinook,North Thompson_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,NA,NA,NA,NA
CK-18,Chinook,North Thompson_SP_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,NA,NA,NA,NA
CK-19,Chinook,North Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-19,Chinook,North Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-19,Chinook,North Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-19,Chinook,North Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,59,50,75,59,Amber
CK-19,Chinook,North Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-75,-25,-15,-75,Red
CK-19,Chinook,North Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,4028,8799,NA,NA
CK-19,Chinook,North Thompson_SU_1.3,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,4028,8799,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-29,Chinook,East Vancouver Island-North_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,110,50,75,110,Green
CK-29,Chinook,East Vancouver Island-North_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-2,-25,-15,-2,Green
CK-29,Chinook,East Vancouver Island-North_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,378,1621,NA,NA
CK-29,Chinook,East Vancouver Island-North_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,378,1621,NA,NA
CK-31,Chinook,West Vancouver Island-South_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-31,Chinook,West Vancouver Island-South_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-31,Chinook,West Vancouver Island-South_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-31,Chinook,West Vancouver Island-South_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,73,50,75,73,Amber
CK-31,Chinook,West Vancouver Island-South_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-18,-25,-15,-18,Amber
CK-31,Chinook,West Vancouver Island-South_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,389,1860,NA,NA
CK-31,Chinook,West Vancouver Island-South_FA_0.X ,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,389,1860,NA,NA
CK-32,Chinook,West Vancouver Island-Nootka & Kyuquot_FA_0.X,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-32,Chinook,West Vancouver Island-Nootka & Kyuquot_FA_0.X,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-32,Chinook,West Vancouver Island-Nootka & Kyuquot_FA_0.X,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,1,Red
CK-32,Chinook,West Vancouver Island-Nootka & Kyuquot_FA_0.X,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,75,50,75,75,Amber
CK-32,Chinook,West Vancouver Island-Nootka & Kyuquot_FA_0.X,Rel_Idx,SpnForAbd_Wild,2012,PercChange,-32,-25,-15,-32,Red
CK-32,Chinook,West Vancouver Island-Nootka & Kyuquot_FA_0.X,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,419,2124,NA,NA
CK-32,Chinook,West Vancouver Island-Nootka & Kyuquot_FA_0.X,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,419,2124,NA,NA
CK-82,Chinook,Upper Adams River_SU_x.x,Rel_Idx,SpnForAbd_Wild,2012,AbsLBM,NA,1000,10000,NA,NA
CK-82,Chinook,Upper Adams River_SU_x.x,Rel_Idx,SpnForAbd_Wild,2012,AbsUBM,NA,1000,10000,NA,NA
CK-82,Chinook,Upper Adams River_SU_x.x,Rel_Idx,SpnForAbd_Wild,2012,IntStatus,NA,NA,NA,0,DD
CK-82,Chinook,Upper Adams River_SU_x.x,Rel_Idx,SpnForAbd_Wild,2012,LongTrend,105,50,75,105,Green
CK-82,Chinook,Upper Adams River_SU_x.x,Rel_Idx,SpnForAbd_Wild,2012,PercChange,34,-25,-15,34,Green
CK-82,Chinook,Upper Adams River_SU_x.x,Rel_Idx,SpnForAbd_Wild,2012,RelLBM,NA,NA,NA,NA,NA
CK-82,Chinook,Upper Adams River_SU_x.x,Rel_Idx,SpnForAbd_Wild,2012,RelUBM,NA,NA,NA,NA,NA
CO-01,Coho,Middle Fraser,Abs_Abd,SpnForAbd_Wild,2013,AbsLBM,6920,1000,10000,6.92,Amber
CO-01,Coho,Middle Fraser,Abs_Abd,SpnForAbd_Wild,2013,AbsUBM,6920,1000,10000,0.692,Amber
CO-01,Coho,Middle Fraser,Abs_Abd,SpnForAbd_Wild,2013,IntStatus,NA,NA,NA,3,Amber
CO-01,Coho,Middle Fraser,Abs_Abd,SpnForAbd_Wild,2013,LongTrend,193,50,75,193,Green
CO-01,Coho,Middle Fraser,Abs_Abd,SpnForAbd_Wild,2013,PercChange,62,-25,-15,62,Green
CO-01,Coho,Middle Fraser,Abs_Abd,SpnForAbd_Wild,2013,RelLBM,6920,1585,2785,4.365930599,Green
CO-01,Coho,Middle Fraser,Abs_Abd,SpnForAbd_Wild,2013,RelUBM,6920,1585,2785,2.484739677,Green
CO-02,Coho,Fraser Canyon,Abs_Abd,SpnForAbd_Wild,2013,AbsLBM,4454,1000,10000,4.454,Amber
CO-02,Coho,Fraser Canyon,Abs_Abd,SpnForAbd_Wild,2013,AbsUBM,4454,1000,10000,0.4454,Amber
CO-02,Coho,Fraser Canyon,Abs_Abd,SpnForAbd_Wild,2013,IntStatus,NA,NA,NA,3,Amber
CO-02,Coho,Fraser Canyon,Abs_Abd,SpnForAbd_Wild,2013,LongTrend,135,50,75,135,Green
CO-02,Coho,Fraser Canyon,Abs_Abd,SpnForAbd_Wild,2013,PercChange,-13,-25,-15,-13,Green
CO-02,Coho,Fraser Canyon,Abs_Abd,SpnForAbd_Wild,2013,RelLBM,4454,741,1562,6.010796221,Green
CO-02,Coho,Fraser Canyon,Abs_Abd,SpnForAbd_Wild,2013,RelUBM,4454,741,1562,2.851472471,Green
CO-03,Coho,Lower Thompson,Abs_Abd,SpnForAbd_Wild,2013,AbsLBM,9183,1000,10000,9.183,Amber
CO-03,Coho,Lower Thompson,Abs_Abd,SpnForAbd_Wild,2013,AbsUBM,9183,1000,10000,0.9183,Amber
CO-03,Coho,Lower Thompson,Abs_Abd,SpnForAbd_Wild,2013,IntStatus,NA,NA,NA,4,AmberGreen
CO-03,Coho,Lower Thompson,Abs_Abd,SpnForAbd_Wild,2013,LongTrend,232,50,75,232,Green
CO-03,Coho,Lower Thompson,Abs_Abd,SpnForAbd_Wild,2013,PercChange,452,-25,-15,452,Green
CO-03,Coho,Lower Thompson,Abs_Abd,SpnForAbd_Wild,2013,RelLBM,9183,1405,3052,6.53594306,Green
CO-03,Coho,Lower Thompson,Abs_Abd,SpnForAbd_Wild,2013,RelUBM,9183,1405,3052,3.008846658,Green
CO-04,Coho,North Thompson,Abs_Abd,SpnForAbd_Wild,2013,AbsLBM,13661,1000,10000,13.661,Green
CO-04,Coho,North Thompson,Abs_Abd,SpnForAbd_Wild,2013,AbsUBM,13661,1000,10000,1.3661,Green
CO-04,Coho,North Thompson,Abs_Abd,SpnForAbd_Wild,2013,IntStatus,NA,NA,NA,4,AmberGreen
CO-04,Coho,North Thompson,Abs_Abd,SpnForAbd_Wild,2013,LongTrend,98,50,75,98,Green
CO-04,Coho,North Thompson,Abs_Abd,SpnForAbd_Wild,2013,PercChange,83,-25,-15,83,Green
CO-04,Coho,North Thompson,Abs_Abd,SpnForAbd_Wild,2013,RelLBM,13661,2546,5285,5.365671642,Green
CO-04,Coho,North Thompson,Abs_Abd,SpnForAbd_Wild,2013,RelUBM,13661,2546,5285,2.584862819,Green
CO-05,Coho,South Thompson,Abs_Abd,SpnForAbd_Wild,2013,AbsLBM,8148,1000,10000,8.148,Amber
CO-05,Coho,South Thompson,Abs_Abd,SpnForAbd_Wild,2013,AbsUBM,8148,1000,10000,0.8148,Amber
CO-05,Coho,South Thompson,Abs_Abd,SpnForAbd_Wild,2013,IntStatus,NA,NA,NA,3,Amber
CO-05,Coho,South Thompson,Abs_Abd,SpnForAbd_Wild,2013,LongTrend,121,50,75,121,Green
CO-05,Coho,South Thompson,Abs_Abd,SpnForAbd_Wild,2013,PercChange,40,-25,-15,40,Green
CO-05,Coho,South Thompson,Abs_Abd,SpnForAbd_Wild,2013,RelLBM,8148,2377,4462,3.427850231,Green
CO-05,Coho,South Thompson,Abs_Abd,SpnForAbd_Wild,2013,RelUBM,8148,2377,4462,1.826086957,Green
CU-1,Sockeye,Bowron_ES,Abs_Abd,SpnForAbd_Wild,2010,AbsLBM,2321,1000,10000,2.321,Amber
CU-1,Sockeye,Bowron_ES,Abs_Abd,SpnForAbd_Wild,2010,AbsUBM,2321,1000,10000,0.2321,Amber
CU-1,Sockeye,Bowron_ES,Abs_Abd,SpnForAbd_Wild,2010,IntStatus,NA,NA,NA,1,Red
CU-1,Sockeye,Bowron_ES,Abs_Abd,SpnForAbd_Wild,2010,LongTrend,28,50,75,28,Red
CU-1,Sockeye,Bowron_ES,Abs_Abd,SpnForAbd_Wild,2010,PercChange,-88,-25,-15,-88,Red
CU-1,Sockeye,Bowron_ES,Abs_Abd,SpnForAbd_Wild,2010,RelLBM,2321,4000,17000,0.58,Red
CU-1,Sockeye,Bowron_ES,Abs_Abd,SpnForAbd_Wild,2010,RelUBM,2321,4000,17000,0.14,Red
CU-10,Sockeye,Seton_L,Abs_Abd,SpnForAbd_Wild,2010,AbsLBM,1790,1000,10000,1.79,Amber
CU-10,Sockeye,Seton_L,Abs_Abd,SpnForAbd_Wild,2010,AbsUBM,1790,1000,10000,0.179,Amber
CU-10,Sockeye,Seton_L,Abs_Abd,SpnForAbd_Wild,2010,IntStatus,NA,NA,NA,NA,UD
CU-10,Sockeye,Seton_L,Abs_Abd,SpnForAbd_Wild,2010,LongTrend,67,50,75,67,Amber
CU-10,Sockeye,Seton_L,Abs_Abd,SpnForAbd_Wild,2010,PercChange,-67,-25,-15,-67,Red
CU-10,Sockeye,Seton_L,Abs_Abd,SpnForAbd_Wild,2010,RelLBM,1790,1000,8000,NA,NA
CU-10,Sockeye,Seton_L,Abs_Abd,SpnForAbd_Wild,2010,RelUBM,1790,1000,8000,NA,NA
CU-11,Sockeye,Harrison_US_L,Abs_Abd,SpnForAbd_Wild,2010,AbsLBM,14365,1000,10000,14.365,Green
CU-11,Sockeye,Harrison_US_L,Abs_Abd,SpnForAbd_Wild,2010,AbsUBM,14365,1000,10000,1.4365,Green
CU-11,Sockeye,Harrison_US_L,Abs_Abd,SpnForAbd_Wild,2010,IntStatus,NA,NA,NA,3,Amber
CU-11,Sockeye,Harrison_US_L,Abs_Abd,SpnForAbd_Wild,2010,LongTrend,65,50,75,65,Amber
CU-11,Sockeye,Harrison_US_L,Abs_Abd,SpnForAbd_Wild,2010,PercChange,-39,-25,-15,-39,Red
CU-11,Sockeye,Harrison_US_L,Abs_Abd,SpnForAbd_Wild,2010,RelLBM,14365,9000,76000,1.6,Amber
CU-11,Sockeye,Harrison_US_L,Abs_Abd,SpnForAbd_Wild,2010,RelUBM,14365,9000,76000,0.19,Amber
CU-12,Sockeye,Lillooet_Harr_L,Abs_Abd,SpnForAbd_Wild,2010,AbsLBM,52899,1000,10000,52.899,Green
CU-12,Sockeye,Lillooet_Harr_L,Abs_Abd,SpnForAbd_Wild,2010,AbsUBM,52899,1000,10000,5.2899,Green
CU-12,Sockeye,Lillooet_Harr_L,Abs_Abd,SpnForAbd_Wild,2010,IntStatus,NA,NA,NA,5,Green
CU-12,Sockeye,Lillooet_Harr_L,Abs_Abd,SpnForAbd_Wild,2010,LongTrend,127,50,75,127,Green
CU-12,Sockeye,Lillooet_Harr_L,Abs_Abd,SpnForAbd_Wild,2010,PercChange,3,-25,-15,3,Green
CU-12,Sockeye,Lillooet_Harr_L,Abs_Abd,SpnForAbd_Wild,2010,RelLBM,52899,11000,77000,4.81,Amber
CU-12,Sockeye,Lillooet_Harr_L,Abs_Abd,SpnForAbd_Wild,2010,RelUBM,52899,11000,77000,0.69,Amber
CU-13,Sockeye,Harrison_DS_L,Rel_Idx,SpnForAbd_Wild,2010,AbsLBM,NA,1000,10000,4.441,Amber
CU-13,Sockeye,Harrison_DS_L,Rel_Idx,SpnForAbd_Wild,2010,AbsUBM,NA,1000,10000,0.4441,Amber
