,Year,CU_ID,Species,Stock,Label,Metric,Compare,LBM,UBM,Value,Status
67,2013,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,478.9102717,NA,NA,NA,NA
68,2014,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,433.4268411,NA,NA,NA,NA
69,2015,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,341.2007617,NA,NA,NA,NA
70,2016,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,259.1678078,NA,NA,NA,NA
71,2017,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,226.7344007,NA,NA,NA,NA
72,2018,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelUBM,207.615548,NA,NA,NA,NA
73,2010,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,644.3910906,1000,10000,0.064439109,Red
74,2011,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,607.9307372,1000,10000,0.060793074,Red
75,2012,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,483.0953026,1000,10000,0.04830953,Red
76,2013,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,478.9102717,1000,10000,0.047891027,Red
77,2014,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,433.4268411,1000,10000,0.043342684,Red
78,2015,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,341.2007617,1000,10000,0.034120076,Red
79,2016,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,259.1678078,1000,10000,0.025916781,Red
80,2017,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,226.7344007,1000,10000,0.02267344,Red
81,2018,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsUBM,207.615548,1000,10000,0.020761555,Red
82,2010,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
83,2011,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
84,2012,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
85,2013,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
86,2014,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
87,2015,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
88,2016,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
89,2017,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
90,2018,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
91,2010,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,644.3910906,NA,NA,NA,NA
92,2011,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,607.9307372,NA,NA,NA,NA
93,2012,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,483.0953026,NA,NA,NA,NA
94,2013,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,478.9102717,NA,NA,NA,NA
95,2014,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,433.4268411,NA,NA,NA,NA
96,2015,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,341.2007617,NA,NA,NA,NA
97,2016,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,259.1678078,NA,NA,NA,NA
98,2017,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,226.7344007,NA,NA,NA,NA
99,2018,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,RelLBM,207.615548,NA,NA,NA,NA
100,2010,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,644.3910906,1000,10000,0.644391091,Red
101,2011,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,607.9307372,1000,10000,0.607930737,Red
102,2012,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,483.0953026,1000,10000,0.483095303,Red
103,2013,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,478.9102717,1000,10000,0.478910272,Red
104,2014,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,433.4268411,1000,10000,0.433426841,Red
105,2015,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,341.2007617,1000,10000,0.341200762,Red
106,2016,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,259.1678078,1000,10000,0.259167808,Red
107,2017,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,226.7344007,1000,10000,0.226734401,Red
108,2018,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForAbd_Wild,AbsLBM,207.615548,1000,10000,0.207615548,Red
109,2010,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,2.11,0.5,0.75,2.11,Green
110,2011,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,1.95,0.5,0.75,1.95,Green
111,2012,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,1.53,0.5,0.75,1.53,Green
112,2013,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,1.55,0.5,0.75,1.55,Green
113,2014,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,1.4,0.5,0.75,1.4,Green
114,2015,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,1.1,0.5,0.75,1.1,Green
115,2016,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,0.85,0.5,0.75,0.85,Green
116,2017,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,0.75,0.5,0.75,0.75,Amber
117,2018,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,LongTrend,0.7,0.5,0.75,0.7,Amber
118,2010,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,219.7925,-25,-15,219.7925,Green
119,2011,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,229.5155,-25,-15,229.5155,Green
120,2012,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,194.009,-25,-15,194.009,Green
121,2013,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,168.5904,-25,-15,168.5904,Green
122,2014,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,110.8502,-25,-15,110.8502,Green
123,2015,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,59.944,-25,-15,59.944,Green
124,2016,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,14.5964,-25,-15,14.5964,Green
125,2017,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,-20.7458,-25,-15,-20.7458,Amber
126,2018,CK-04,Chinook,Lower Fraser River_SP_1.3,SpnForTrend_Wild,PercChange,-46.7862,-25,-15,-46.7862,Red
127,2010,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelUBM,130.9487616,NA,NA,NA,NA
128,2011,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelUBM,126.5583088,NA,NA,NA,NA
129,2012,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelUBM,126.5583088,NA,NA,NA,NA
130,2014,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelUBM,104.2206198,NA,NA,NA,NA
131,2016,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelUBM,89.53858101,NA,NA,NA,NA
132,2017,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelUBM,87.09398297,NA,NA,NA,NA
133,2018,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelUBM,86.79669615,NA,NA,NA,NA
134,2010,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsUBM,130.9487616,1000,10000,0.013094876,Red
135,2011,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsUBM,126.5583088,1000,10000,0.012655831,Red
136,2012,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsUBM,126.5583088,1000,10000,0.012655831,Red
137,2014,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsUBM,104.2206198,1000,10000,0.010422062,Red
138,2016,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsUBM,89.53858101,1000,10000,0.008953858,Red
139,2017,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsUBM,87.09398297,1000,10000,0.008709398,Red
140,2018,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsUBM,86.79669615,1000,10000,0.00867967,Red
141,2010,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
142,2011,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
