AF_ID,AF_PopName,AF_AltPopName,AF_Timing,AF_CU_ID,AF_Notes,AF_POP_ID,NF_POP_ID,NF_PopName,NF_AltPopName,NF_CU_ID,NF_CUName,SF_ID,SF_PopName,SF_CU_ID,SF_CUName,MF_POP_ID,MF_PopName,MF_AltPopName,MF_TSName,MF_CU_ID
3000,Blackwater Creek,,T1,19,,45600,45600,BLACKWATER CREEK,BLACKWATER CREEK,L-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,9,Blackwater Creek,SEL-L-06-14,Takla_Trem_Estu,45600,BLACKWATER CREEK/MFR,BLACKWATER CREEK/MFR,Blackwater Creek,SEL-06-14
3018,Blanchet Creek,,T1,19,,45589,45589,BLANCHETTE CREEK,BLANCHETTE CREEK,L-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,10,Blanchet Creek,SEL-L-06-14,Takla_Trem_Estu,45589,BLANCHETTE CREEK,BLANCHETTE CREEK,Blanchet Creek,SEL-06-14
3046,Blanchet North Creek,Takla Lake - unnamed creek (north of Blanchet),T1,19,,3089,3089,TAKLA LAKE - UNNAMED CREEK (NORTH OF BLANCHETTE),TAKLA LAKE - UNNAMED CREEK (NORTH OF BLANCHETTE),L-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,11,Blanchet North Creek,NA,NA,3089,TAKLA LAKE - UNNAMED CREEK (NORTH OF BLANCHETTE),TAKLA LAKE - UNNAMED CREEK (NORTH OF BLANCHETTE),Blanchet North Creek,SEL-06-14
7031,Blue Creek,,T2,15,,7689,NA,NA,NA,NA,NA,104,Blue Creek,SEL-L-03-05,Pitt_ES,NA,NA,NA,NA,NA
11045,Blue Lead Cr. - Shore,,T3,16,,3346,3346,BLUE LEAD CR. - LAKE SHORE,BLUE LEAD CR. - LAKE SHORE,L-06-10,QUESNEL-SUMMER TIMING,198,Blue Lead Cr. - Shore,SEL-L-06-10,Quesnel_S,3346,BLUE LEAD CREEK-LAKE SHORE,BLUE LEAD CREEK-LAKE SHORE,Blue Lead Cr. - Shore,SEL-06-10
11010,Blue Lead Creek,,T3,16,,45073,45073,BLUE LEAD CREEK,BLUE LEAD CREEK,L-06-10,QUESNEL-SUMMER TIMING,199,Blue Lead Creek,SEL-L-06-10,Quesnel_S,45073,BLUE LEAD CREEK,BLUE LEAD CREEK,Blue Lead Creek,SEL-06-10
2030,Blueberry Creek,,T2,17,,7632,7632,BLUEBERRY CREEK,BLUEBERRY CREEK,L-09-02,SHUSWAP COMPLEX-EARLY SUMMER TIMING,113,Blueberry Creek,NA,NA,7632,BLUEBERRY CREEK,BLUEBERRY CREEK,Blueberry Creek,SEL-09-02
5082,Blurton Creek,,T4,18,,7643,7643,BLURTON CREEK,BLURTON CREEK,L-09-03,SHUSWAP COMPLEX-LATE TIMING,311,Blurton Creek,NA,NA,7643,BLURTON CREEK,BLURTON CREEK,Blurton Creek,SEL-09-03
11046,Bouldery Cr. - Shore,,T3,16,,3347,3347,BOULDERY CR. - LAKE SHORE,BOULDERY CR. - LAKE SHORE,L-06-10,QUESNEL-SUMMER TIMING,200,Bouldery Cr. - Shore,SEL-L-06-10,Quesnel_S,3347,BOULDERY CREEK-LAKE SHORE,BOULDERY CREEK-LAKE SHORE,Bouldery Cr. - Shore,SEL-06-10
11047,Bouldery Cr. - Shore 2 km east,,T3,16,,3348,3348,BOULDERY CR. - LAKE SHORE 2KM E,BOULDERY CR. - LAKE SHORE 2KM E,L-06-10,QUESNEL-SUMMER TIMING,201,Bouldery Cr. - Shore 2 km east,SEL-L-06-10,Quesnel_S,3348,BOULDERY CREEK-E-LAKE SHORE,BOULDERY CREEK-E-LAKE SHORE,Bouldery Cr. - Shore 2 km east,SEL-06-10
11029,Bouldery Creek,,T3,16,,45066,45066,BOULDERY CREEK,BOULDERY CREEK,L-06-10,QUESNEL-SUMMER TIMING,202,Bouldery Creek,SEL-L-06-10,Quesnel_S,45066,BOULDERY CREEK,BOULDERY CREEK,Bouldery Creek,SEL-06-10
11053,Bowling Point,,T3,16,,3366,3366,BOWLING POINT,BOWLING POINT,L-06-10,QUESNEL-SUMMER TIMING,203,Bowling Point,SEL-L-06-10,Quesnel_S,3366,BOWLING POINT,BOWLING POINT,Bowling Point,SEL-06-10
10009,"Bowron River, lower",,T2,30,,7010,NA,NA,NA,NA,NA,65,"Bowron River, lower",SER-R06,UFR_RT,NA,NA,NA,NA,NA
10001,"Bowron River, upper",,T2,2,,47419,47419,BOWRON RIVER,BOWRON RIVER,L-07-01,BOWRON-EARLY SUMMER TIMING,61,"Bowron River, upper",SEL-L-07-01,Bowron_ES,47419,BOWRON RIVER,BOWRON RIVER,Bowron River,SEL-07-01
13003,Bridge River,,T3,29,,47221,NA,NA,NA,NA,NA,171,Bridge River,SER-R05,MFR_RT,NA,NA,NA,NA,NA
13007,Bridge River (Late),,T4,39,New in 2013,7728,NA,NA,NA,NA,NA,383,Bridge River (Late),SER-R05,MFR_RT,NA,NA,NA,NA,NA
11037,Buckingham Creek,,T3,16,,45067,45067,BUCKINGHAM CREEK,BUCKINGHAM CREEK,L-06-10,QUESNEL-SUMMER TIMING,204,Buckingham Creek,SEL-L-06-10,Quesnel_S,45067,BUCKINGHAM CREEK/MFR,BUCKINGHAM CREEK/MFR,Buckingham Creek,SEL-06-10
2013,Burton Creek,,T2,17,,45013,NA,NA,NA,NA,NA,114,Burton Creek,SEL-L-09-02,Shuswap_ES,NA,NA,NA,NA,NA
2016,Bush Creek,,T2,17,,45011,NA,NA,NA,NA,NA,2,Bush Creek,2,2,NA,NA,NA,NA,NA
5013,Bush Creek,,T4,18,,45012,45012,BUSH CREEK,BUSH CREEK,L-09-03,SHUSWAP COMPLEX-LATE TIMING,2,Bush Creek,2,2,45012,BUSH CREEK/STh,BUSH CREEK/STh,Bush Creek,SEL-09-03
5043,Bush Creek - shore,,T4,18,,3407,3407,BUSH CREEK - LAKE SHORE,BUSH CREEK - LAKE SHORE,L-09-03,SHUSWAP COMPLEX-LATE TIMING,313,Bush Creek - shore,SEL-L-09-03,Shuswap_L,3407,BUSH CREEK-LAKE SHORE,BUSH CREEK-LAKE SHORE,Bush Creek - shore,SEL-09-03
3047,Butterfield Creek,,T1,99,,3077,NA,NA,NA,NA,NA,2,Butterfield Creek,SEL-L-06-14,Takla_Trem_Estu,NA,NA,NA,NA,NA
11017,Cameron Creek,,T3,16,,45061,45061,CAMERON CREEK,CAMERON CREEK,L-06-10,QUESNEL-SUMMER TIMING,205,Cameron Creek,SEL-L-06-10,Quesnel_S,45061,CAMERON CREEK/MFR,CAMERON CREEK/MFR,Cameron Creek,SEL-06-10
5083,Camp Creek,Unnamed Creek,T4,18,,0,NA,NA,NA,NA,NA,314,Camp Creek,NA,NA,NA,NA,NA,NA,NA
5014,Canoe Creek,,T4,18,,46419,46419,CANOE CREEK,CANOE CREEK,L-09-03,SHUSWAP COMPLEX-LATE TIMING,315,Canoe Creek,SEL-L-09-03,Shuswap_L,46419,CANOE CREEK/STh,CANOE CREEK/STh,Canoe Creek,SEL-09-03
11039,"Cariboo River, lower",,T3,29,,46883,NA,NA,NA,NA,NA,298,"Cariboo River, lower",SER-R05,MFR_RT,NA,NA,NA,NA,NA
11108,"Cariboo River, upper",,T3,25,,3443,NA,NA,NA,NA,NA,296,"Cariboo River, upper",SEL-L-06-18,Cariboo_S_(Validation_required),NA,NA,NA,NA,NA
3019,Casamir Creek,,T1,19,,45573,45573,CASIMIR CREEK,CASIMIR CREEK,L-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,13,Casamir Creek,SEL-L-06-14,Takla_Trem_Estu,45573,CASIMIR CREEK,CASIMIR CREEK,Casamir Creek,SEL-06-14
2002,Cayenne Creek,,T2,17,,46278,NA,NA,NA,NA,NA,2,Cayenne Creek,NA,NA,NA,NA,NA,NA,NA
5042,Cayenne Creek,,T4,18,,46279,NA,NA,NA,NA,NA,2,Cayenne Creek,NA,NA,NA,NA,NA,NA,NA
12004,Cayoosh Creek,,T3,99,,47201,NA,NA,NA,NA,NA,169,Cayoosh Creek,NA,NA,NA,NA,NA,NA,NA
2018,Celista Creek,,T2,17,,46318,46318,CELISTA CREEK,CELISTA CREEK,L-09-03,SHUSWAP COMPLEX-LATE TIMING,2,Celista Creek,2,2,46318,CELISTA CREEK,CELISTA CREEK,Celista Creek,SEL-09-03
5015,Celista Creek,,T4,18,,46319,46319,CELISTA CREEK,CELISTA CREEK,L-09-02,SHUSWAP COMPLEX-EARLY SUMMER TIMING,2,Celista Creek,2,2,46319,CELISTA CREEK,CELISTA CREEK,Celista Creek,SEL-09-02
4023,Chehalis River,,T3,99,,46038,NA,NA,NA,NA,NA,400,Chehalis River,SK_28,LFR_RT,NA,NA,NA,NA,NA
1001,Chilko Channel,,T3,4,,45079,45079,CHILKO CHANNEL,CHILKO CHANNEL,L-06-03,CHILKO-SUMMER TIMING,155,Chilko Channel,SEL-L-06-03,Chilko_S_ES,45079,CHILKO SPAWNING CHANNELS,CHILKO SPAWNING CHANNELS,Chilko Channel,SEL-06-03
1002,Chilko River,,T3,4,,46843,46843,CHILKO RIVER,CHILKO RIVER,L-06-03,CHILKO-SUMMER TIMING,154,Chilko River,SEL-L-06-03,Chilko_S_ES,46843,CHILKO RIVER,CHILKO RIVER,Chilko River,SEL-06-03
7000,Chilliwack Lake,,T2,5,,45092,45092,CHILLIWACK LAKE,CHILLIWACK LAKE,L-03-01,CHILLIWACK-EARLY SUMMER TIMING,141,Chilliwack Lake,SEL-L-03-01,Chilliwack_ES,45092,CHILLIWACK LAKE,CHILLIWACK LAKE,Chilliwack Lake,SEL-03-01
7024,Chilliwack River,,T4,99,,46981,NA,NA,NA,NA,NA,401,Chilliwack River,SK_28,LFR_RT,NA,NA,NA,NA,NA
7008,"Chilliwack River, upper",Dolly Varden Creek,T2,5,,46986,46986,UPPER CHILLIWACK RIVER,UPPER CHILLIWACK RIVER,L-03-01,CHILLIWACK-EARLY SUMMER TIMING,143,"Chilliwack River, upper",SEL-L-03-01,Chilliwack_ES,46986,CHILLIWACK RIVER-UPPER,CHILLIWACK RIVER-UPPER,"Chilliwack River, upper",SEL-03-01
13005,Churn Creek,,T3,29,,47236,NA,NA,NA,NA,NA,174,Churn Creek,NA,NA,NA,NA,NA,NA,NA
11065,Clearbrook Creek,,T3,16,,45053,NA,NA,NA,NA,NA,206,Clearbrook Creek,SEL-L-06-10,Quesnel_S,NA,NA,NA,NA,NA
9004,Clearwater River,,T3,11,,46680,46680,CLEARWATER RIVER,CLEARWATER RIVER,L-10-01,KAMLOOPS-EARLY SUMMER TIMING,73,Clearwater River,SEL-L-10-01,Kamloops_ES,46680,CLEARWATER RIVER,CLEARWATER RIVER,Clearwater River,SEL-10-01
4024,Cogburn Creek,Fifteen Mile Creek,T4,8,,46065,46065,COGBURN CREEK,COGBURN CREEK,L-03-03,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,389,Cogburn Creek,SEL-L-03-03,Harrison_DS_L,46065,COGBURN CREEK,COGBURN CREEK,Cogburn Creek,SEL-03-03
3011,Consolidated Creek,,T1,19,,45604,45604,CONSOLIDATE CREEK,CONSOLIDATE CREEK,L-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,14,Consolidated Creek,SEL-L-06-14,Takla_Trem_Estu,45604,CONSOLIDATE CREEK,CONSOLIDATE CREEK,Consolidated Creek,SEL-06-14
5071,Cooke Creek,,T4,18,,3440,3440,COOKE CREEK,COOKE CREEK,L-09-03,SHUSWAP COMPLEX-LATE TIMING,317,Cooke Creek,SEL-L-09-03,Shuswap_L,3440,COOKE CREEK,COOKE CREEK,Cooke Creek,SEL-09-03
7007,Coquihalla River,,T4,99,,47121,NA,NA,NA,NA,NA,402,Coquihalla River,NA,NA,NA,NA,NA,NA,NA
7028,Corbold Creek,,T2,15,,7690,7690,CORBOLD CREEK,CORBOLD CREEK,L-03-05,PITT-EARLY SUMMER TIMING,100,Corbold Creek,SEL-L-03-05,Pitt_ES,7690,CORBOLD CREEK,CORBOLD CREEK,Corbold Creek,SEL-03-05
2026,Craigellachie Creek,Gorge Creek,T2,17,,3437,3437,CRAIGELLACHIE CREEK,CRAIGELLACHIE CREEK,L-09-02,SHUSWAP COMPLEX-EARLY SUMMER TIMING,118,Craigellachie Creek,SEL-L-09-02,Shuswap_ES,3437,CRAIGELLACHIE CREEK,CRAIGELLACHIE CREEK,Craigellachie Creek,SEL-09-02
2025,Crazy Creek,,T2,17,,810,810,CRAZY CREEK,CRAZY CREEK,L-09-02,SHUSWAP COMPLEX-EARLY SUMMER TIMING,3,Crazy Creek,3,3,810,CRAZY CREEK/STh,CRAZY CREEK/STh,Crazy Creek,SEL-09-02
4027,Crazy Creek,,T4,8,,3091,3091,CRAZY CREEK,CRAZY CREEK,L-03-03,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,3,Crazy Creek,3,3,3091,CRAZY CREEK/LFR,CRAZY CREEK/LFR,Crazy Creek,SEL-03-03
5068,Crazy Creek,,T4,18,,811,811,CRAZY CREEK,CRAZY CREEK,L-09-03,SHUSWAP COMPLEX-LATE TIMING,3,Crazy Creek,3,3,811,CRAZY CREEK/STh,CRAZY CREEK/STh,Crazy Creek,SEL-09-03
3020,Crow Creek,,T1,19,,45583,45583,CROW CREEK,CROW CREEK,L-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,15,Crow Creek,SEL-L-06-14,Takla_Trem_Estu,45583,CROW CREEK,CROW CREEK,Crow Creek,SEL-06-14
