"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"South Thompson",2009,"Yard Cr",0,7476,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Adams R (upr)",1863,46250,NA,1863,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Anstey R",6,46350,NA,6,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Bessette Cr",53,46542,NA,53,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Blurton Cr",5,46461,NA,5,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Canoe Cr",13,46421,NA,13,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Cayenne Cr",12,46280,NA,12,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Celista Cr",4,46320,NA,4,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Crazy Cr",14,806,NA,14,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Creighton Cr",60,46552,NA,60,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Danforth Cr (kingfisher Cr)",61,46501,NA,61,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Duteau Cr",369,46562,NA,369,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Eagle R",2244,46360,NA,2244,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Harbour Cr",42,3069,NA,42,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Harris Cr",186,46572,NA,186,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Hiuihill Cr",8,132,NA,8,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Hunakwa Cr",20,46340,NA,20,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Ireland Cr",37,46532,NA,37,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Johnson Cr",5,46451,NA,5,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Mcnomee Cr",63,45016,NA,63,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Momich R",21,46270,NA,21,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Nikwikwaia Cr",8,3071,NA,8,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Onyx Cr",0,46300,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Owlhead Cr",0,46370,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Perry R",13,133,NA,13,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Salmon R",1129,46401,NA,1129,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Scotch Cr",79,46290,NA,79,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Senn Cr",84,3074,NA,84,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Seymour R",5,46330,NA,5,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Shuswap R (lwr)",1191,46431,NA,1191,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Shuswap R (mid)",972,46441,NA,972,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Sinmax Cr",28,46260,NA,28,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"South Pass Cr",26,46380,NA,26,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Tappen Cr",4,46391,NA,4,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Trinity Cr",9,46481,NA,9,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Wap Cr",294,46521,NA,294,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Wright Cr",10,3217,NA,10,NA,NA,NA,"CO_05",NA
"South Thompson",2010,"Yard Cr",8,7476,NA,8,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Adams R (upr)",606,46250,NA,606,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Anstey R",0.01,46350,NA,0.01,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Bessette Cr",46,46542,NA,46,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Blurton Cr",2,46461,NA,2,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Canoe Cr",0.01,46421,NA,0.01,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Cayenne Cr",7,46280,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Celista Cr",0,46320,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Crazy Cr",0,806,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Creighton Cr",48,46552,NA,48,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Danforth Cr (kingfisher Cr)",109,46501,NA,109,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Duteau Cr",193,46562,NA,193,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Eagle R",1859,46360,NA,1859,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Harbour Cr",51,3069,NA,51,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Harris Cr",94,46572,NA,94,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Hiuihill Cr",9,132,NA,9,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Hunakwa Cr",11,46340,NA,11,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Ireland Cr",20,46532,NA,20,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Johnson Cr",3,46451,NA,3,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Mcnomee Cr",0,45016,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Momich R",23,46270,NA,23,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Nikwikwaia Cr",7,3071,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Onyx Cr",0,46300,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Owlhead Cr",2,46370,NA,2,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Perry R",0,133,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Salmon R",720,46401,NA,720,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Scotch Cr",37,46290,NA,37,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Senn Cr",31,3074,NA,31,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Seymour R",33,46330,NA,33,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Shuswap R (lwr)",165,46431,NA,165,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Shuswap R (mid)",411,46441,NA,411,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Sinmax Cr",119,46260,NA,119,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"South Pass Cr",9,46380,NA,9,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Tappen Cr",9,46391,NA,9,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Trinity Cr",5,46481,NA,5,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Wap Cr",138,46521,NA,138,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Wright Cr",0,3217,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2011,"Yard Cr",4,7476,NA,4,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Adams R (upr)",1371,46250,NA,1371,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Anstey R",28.93333333,46350,NA,28.93333333,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Bessette Cr",71.53333333,46542,NA,71.53333333,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Blurton Cr",7,46461,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Canoe Cr",0,46421,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Cayenne Cr",27,46280,NA,27,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Celista Cr",5,46320,NA,5,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Crazy Cr",3,806,NA,3,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Creighton Cr",122.3333333,46552,NA,122.3333333,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Danforth Cr (kingfisher Cr)",15,46501,NA,15,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Duteau Cr",657,46562,NA,657,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Eagle R",5889,46360,NA,5889,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Harbour Cr",127.1333333,3069,NA,127.1333333,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Harris Cr",254.6,46572,NA,254.6,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Hiuihill Cr",26.13333333,132,NA,26.13333333,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Hunakwa Cr",85.6,46340,NA,85.6,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Ireland Cr",55,46532,NA,55,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Johnson Cr",7,46451,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Mcnomee Cr",71.86666667,45016,NA,71.86666667,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Momich R",52.4,46270,NA,52.4,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Nikwikwaia Cr",18.33333333,3071,NA,18.33333333,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Onyx Cr",0,46300,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Owlhead Cr",7,46370,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Perry R",7.866666667,133,NA,7.866666667,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Salmon R",121,46401,NA,121,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Scotch Cr",58.6,46290,NA,58.6,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Senn Cr",98.2,3074,NA,98.2,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Seymour R",140,46330,NA,140,NA,NA,NA,"CO_05",NA
