"Year","Watershed.Group.Name","Pop_Name","Timing.Group","CU_Name","SpnForTrend_Total","adults","eff_fem","EstClass","SpnForTrend_Wild","SpnForAbd_Wild","SpnForAbd_Total","Recruits_Total","Recruits_Wild","Pop_ID","MapPOP_ID","CU_ID","CU_Name.Check","DU_ID","CU_ID_Alt2_CULookup"
1938,"Early Stuart","Point Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45585,45585,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Sakeniche River","t1","Takla-Trembleur - Early Stuart",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45577,45577,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Sandpoint Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45576,45576,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Shale Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45588,45588,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Sidney Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45558,45558,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Sinta Creek","t1","Takla-Trembleur - Early Stuart",0,0,0,"",0,0,0,NA,NA,45580,45580,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Early Stuart","Van Decar Creek","t1","Takla-Trembleur - Early Stuart",18,18,9,"RELATIVE ABUNDANCE (TYPE-3)",18,18,18,NA,NA,45569,45569,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING",NA,"SEL-06-14"
1938,"Harrison-Lillooet","Bear Creek","t4","Harrison (D/S) - Late",0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1938,"Harrison-Lillooet","Big Silver Creek","t4","Harrison (D/S) - Late",0,0,0,"",0,0,0,NA,NA,46072,46072,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING",NA,"SEL-03-03"
1938,"Harrison-Lillooet","Birkenhead River","t4","Lillooet-Harrison - Late",11100,10950,7653,"RELATIVE ABUNDANCE (TYPE-3)",11100,11100,11100,NA,NA,46098,46098,"L-04-01","LILLOOET/HARRISON-LATE TIMING",NA,"SEL-04-01"
1938,"Harrison-Lillooet","Douglas Creek","t4","Harrison (D/S) - Late",0,0,0,"",0,0,0,NA,NA,46083,46083,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING",NA,"SEL-03-03"
1938,"Harrison-Lillooet","East Creek","t4","Harrison (U/S) - Late",187,187,96,"",187,187,187,NA,NA,46055,46055,"L-03-04","HARRISON-UPSTREAM MIGRATING-LATE TIMING",NA,"SEL-03-04"
1938,"Harrison-Lillooet","Green River","t4","Lillooet-Harrison - Late",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46107,46107,"L-04-01","LILLOOET/HARRISON-LATE TIMING",NA,"SEL-04-01"
1938,"Harrison-Lillooet","Harrison River","t3","Harrison River - Summer",7500,7500,3726,"RELATIVE ABUNDANCE (TYPE-4)",7500,7500,7500,NA,NA,46030,46030,"R-03","HARRISON RIVER",NA,"SER-03"
1938,"Harrison-Lillooet","Lillooet Slough","t4","Lillooet-Harrison - Late",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46025,46025,"L-04-01","LILLOOET/HARRISON-LATE TIMING",NA,"SEL-04-01"
1938,"Harrison-Lillooet","Miller Creek","t4","Lillooet-Harrison - Late",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46117,46117,"L-04-01","LILLOOET/HARRISON-LATE TIMING",NA,"SEL-04-01"
1938,"Harrison-Lillooet","Pemberton Creek","t4","Lillooet-Harrison - Late",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46112,46112,"L-04-01","LILLOOET/HARRISON-LATE TIMING",NA,"SEL-04-01"
1938,"Harrison-Lillooet","Railroad Creek","t4","Lillooet-Harrison - Late",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46147,46147,"L-04-01","LILLOOET/HARRISON-LATE TIMING",NA,"SEL-04-01"
1938,"Harrison-Lillooet","Ryan River","t4","Lillooet-Harrison - Late",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46122,46122,"L-04-01","LILLOOET/HARRISON-LATE TIMING",NA,"SEL-04-01"
1938,"Harrison-Lillooet","Trout Lake Creek","t4","Harrison (D/S) - Late",2520,2520,1181,"RELATIVE ABUNDANCE (TYPE-4)",2520,2520,2520,NA,NA,46059,46059,"L-03-03","HARRISON-DOWNSTREAM MIGRATING-LATE TIMING",NA,"SEL-03-03"
1938,"Harrison-Lillooet","Weaver Creek","t4","Harrison (U/S) - Late",18012,18012,8025,"RELATIVE ABUNDANCE (TYPE-4)",18012,18012,18012,NA,NA,46044,46044,"L-03-04","HARRISON-UPSTREAM MIGRATING-LATE TIMING",NA,"SEL-03-04"
1938,"Late South Thompson","Adams River, lower","t4","Shuswap Complex - Late",620000,618249,243160,"TRUE ABUNDANCE (TYPE-2)",620000,620000,620000,NA,NA,46239,46239,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Anstey River","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46349,46349,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
