"CU_ID","Year","Value"
"CK-13",2022,145037.249823669
"CK-14",1995,NA
"CK-14",1996,NA
"CK-14",1997,NA
"CK-14",1998,NA
"CK-14",1999,NA
"CK-14",2000,NA
"CK-14",2001,NA
"CK-14",2002,NA
"CK-14",2003,1242.78884871517
"CK-14",2004,1326.37156272435
"CK-14",2005,1103.00210327604
"CK-14",2006,906.04103981823
"CK-14",2007,674.018241795144
"CK-14",2008,558.93150591319
"CK-14",2009,512.21539263737
"CK-14",2010,672.82459542936
"CK-14",2011,644.346507438594
"CK-14",2012,674.992158109319
"CK-14",2013,716.855931846244
"CK-14",2014,771.866744728771
"CK-14",2015,675.635078733926
"CK-14",2016,613.421333156965
"CK-14",2017,712.263111280605
"CK-14",2018,684.342655033321
"CK-14",2019,677.114954110878
"CK-14",2020,646.953244284511
"CK-14",2021,1017.76299445784
"CK-14",2022,964.59619000792
"CK-15",1995,17730.0900014592
"CK-15",1996,19675.1412016065
"CK-15",1997,24665.6261282593
"CK-15",1998,25771.5247277226
"CK-15",1999,33552.7048539833
"CK-15",2000,31804.8060525092
"CK-15",2001,35770.7106719562
"CK-15",2002,40188.4243962887
"CK-15",2003,38523.2318380498
"CK-15",2004,34070.3703593038
"CK-15",2005,28696.0537896307
"CK-15",2006,29301.1408820087
"CK-15",2007,23376.4292683998
"CK-15",2008,22661.059417846
"CK-15",2009,24684.5661085323
"CK-15",2010,25879.9113248733
"CK-15",2011,27022.5143451984
"CK-15",2012,19772.7112691366
"CK-15",2013,20423.5465489063
"CK-15",2014,18102.1807059083
"CK-15",2015,21666.4657796
"CK-15",2016,23903.0537378698
"CK-15",2017,19708.0997800504
"CK-15",2018,15544.1476514445
"CK-15",2019,14473.8877053966
"CK-15",2020,20424.5103435707
"CK-15",2021,24866.4572088907
"CK-15",2022,29500.7276668373
"CK-16",1995,NA
"CK-16",1996,NA
"CK-16",1997,NA
"CK-16",1998,NA
"CK-16",1999,NA
"CK-16",2000,NA
"CK-16",2001,NA
"CK-16",2002,252.650486487941
"CK-16",2003,214.534739313624
"CK-16",2004,252.636904279873
"CK-16",2005,199.922533128249
"CK-16",2006,205.966929799598
"CK-16",2007,81.1983884861687
"CK-16",2008,66.1318358628737
"CK-16",2009,41.5319154037143
"CK-16",2010,38.4142654026047
"CK-16",2011,43.203857825429
"CK-16",2012,28.2118688249982
"CK-16",2013,45.8301206840219
"CK-16",2014,38.0523047972635
"CK-16",2015,78.3788871713425
"CK-16",2016,64.52350438852
"CK-16",2017,35.0607760064759
"CK-16",2018,16.1782710894244
"CK-16",2019,4.67026458425094
"CK-16",2020,NA
"CK-16",2021,NA
"CK-16",2022,NA
"CK-17",1995,NA
"CK-17",1996,NA
"CK-17",1997,NA
"CK-17",1998,6069.9347184158
"CK-17",1999,5131.38450836923
"CK-17",2000,5102.49128555104
"CK-17",2001,4617.21014528856
"CK-17",2002,6199.8662542889
"CK-17",2003,8732.8741864686
"CK-17",2004,8964.9446765484
"CK-17",2005,8150.25723430849
"CK-17",2006,6372.8714748218
"CK-17",2007,3730.91928604399
"CK-17",2008,3657.46693009564
"CK-17",2009,2653.43511178079
"CK-17",2010,2687.03781366134
"CK-17",2011,3022.53824930437
"CK-17",2012,2679.13134977421
"CK-17",2013,3164.07833478621
"CK-17",2014,4510.21112653173
"CK-17",2015,5769.81207542016
"CK-17",2016,6318.45275781467
"CK-17",2017,6535.10397471942
"CK-17",2018,2436.24749109478
"CK-17",2019,1722.83099658714
"CK-17",2020,1551.50371239779
"CK-17",2021,1378.0187971724
"CK-17",2022,2191.91250263715
"CK-18",1995,NA
"CK-18",1996,NA
"CK-18",1997,NA
"CK-18",1998,NA
"CK-18",1999,NA
"CK-18",2000,NA
"CK-18",2001,NA
"CK-18",2002,NA
"CK-18",2003,834.821127347599
"CK-18",2004,878.400336024206
"CK-18",2005,630.117668637506
"CK-18",2006,507.56675508398
"CK-18",2007,352.456286935312
"CK-18",2008,321.992927532963
"CK-18",2009,238.550679897619
"CK-18",2010,220.5424781295
"CK-18",2011,209.745965325882
"CK-18",2012,219.825712833407
"CK-18",2013,202.788126809899
"CK-18",2014,199.524415986452
"CK-18",2015,170.403179798172
"CK-18",2016,150.948710611979
"CK-18",2017,129.758482788907
"CK-18",2018,107.132761844245
"CK-18",2019,133.333046844977
"CK-18",2020,181.292059065547
"CK-18",2021,199.530915823164
"CK-18",2022,263.42555497613
"CK-19",1995,NA
"CK-19",1996,NA
"CK-19",1997,NA
"CK-19",1998,NA
"CK-19",1999,NA
"CK-19",2000,NA
"CK-19",2001,6490.5309970682
"CK-19",2002,6038.25073103279
"CK-19",2003,5954.79733739514
"CK-19",2004,6111.93143322704
"CK-19",2005,5698.44683398544
"CK-19",2006,5678.18813991623
"CK-19",2007,4490.18691851293
"CK-19",2008,3930.58969037266
"CK-19",2009,3963.36582058961
"CK-19",2010,3185.20183172569
"CK-19",2011,2537.88888107011
"CK-19",2012,2606.64130842405
"CK-19",2013,2379.70676203657
"CK-19",2014,2071.52641191417
"CK-19",2015,2731.34529252979
"CK-19",2016,2440.39921637829
"CK-19",2017,2204.78652813345
"CK-19",2018,1699.1949963463
"CK-19",2019,1348.85496427711
"CK-19",2020,1261.78377098357
"CK-19",2021,1735.78006364377
"CK-19",2022,2310.81472415666
"CK-29",1995,NA
"CK-29",1996,NA
"CK-29",1997,NA
"CK-29",1998,NA
"CK-29",1999,NA
"CK-29",2000,NA
"CK-29",2001,NA
"CK-29",2002,285.043352115606
"CK-29",2003,239.87529426426
"CK-29",2004,180.32324230486
"CK-29",2005,118.641902983068
"CK-29",2006,94.1085908694796
"CK-29",2007,93.4018430572932
"CK-29",2008,126.99762989348
"CK-29",2009,163.707979108127
"CK-29",2010,159.528936947511
"CK-29",2011,199.148569662188
"CK-29",2012,178.257435657779
"CK-29",2013,163.520628034086
"CK-29",2014,131.879526975763
"CK-29",2015,95.3369997640323
"CK-29",2016,85.9260960379996
"CK-29",2017,122.036307589132
"CK-29",2018,152.276564668249
"CK-29",2019,227.531214011126
"CK-29",2020,343.352367837748
"CK-29",2021,357.866384634662
"CK-29",2022,NA
"CK-31",1995,NA
"CK-31",1996,NA
"CK-31",1997,NA
"CK-31",1998,764.384715253745
"CK-31",1999,744.601815015019
"CK-31",2000,601.061366627463
"CK-31",2001,551.323182500185
"CK-31",2002,388.54780848122
"CK-31",2003,327.628015198873
"CK-31",2004,359.418448648266
"CK-31",2005,300.439035299408
"CK-31",2006,332.084228339173
"CK-31",2007,281.830361424136
