"","Year","Pop_Name","Species","CU_ID","CU_Name","POPID","SpnForAbd_Wild","SpnForTrend_Wild","SpnForAbd_Total","SpnForTrend_Total","Pop_ID","DU_ID","Recruits_Total","Recruits_Wild"
"205",2010,"Coghlan Creek","Chum","CM-02","Lower Fraser Chum",47980,NA,NA,NA,NA,47980,NA,NA,NA
"206",2010,"Hicks Creek","Chum","CM-02","Lower Fraser Chum",47098,NA,NA,412,412,47098,NA,NA,NA
"207",2010,"Hopedale Creek","Chum","CM-02","Lower Fraser Chum",44645,NA,NA,709,709,44645,NA,NA,NA
"208",2010,"Kanaka Creek","Chum","CM-02","Lower Fraser Chum",47963,NA,NA,486,486,47963,NA,NA,NA
"209",2010,"MacIntyre Creek","Chum","CM-02","Lower Fraser Chum",47950,NA,NA,41,41,47950,NA,NA,NA
"210",2010,"Nathan Creek","Chum","CM-02","Lower Fraser Chum",47992,NA,NA,NA,NA,47992,NA,NA,NA
"211",2010,"Norrish  Suicide  Creek","Chum","CM-02","Lower Fraser Chum",47557,NA,NA,NA,NA,47557,NA,NA,NA
"212",2010,"North Alouette River","Chum","CM-02","Lower Fraser Chum",47928,NA,NA,NA,NA,47928,NA,NA,NA
"213",2010,"Peach Creek","Chum","CM-02","Lower Fraser Chum",47015,NA,NA,1458,1458,47015,NA,NA,NA
"214",2010,"Post Creek","Chum","CM-02","Lower Fraser Chum",47062,NA,NA,NA,NA,47062,NA,NA,NA
"215",2010,"Salmon River","Chum","CM-02","Lower Fraser Chum",47970,NA,NA,NA,NA,47970,NA,NA,NA
"216",2010,"Siddall Creek","Chum","CM-02","Lower Fraser Chum",46978,NA,NA,NA,NA,46978,NA,NA,NA
"217",2010,"Silverdale Creek","Chum","CM-02","Lower Fraser Chum",48012,NA,NA,208,208,48012,NA,NA,NA
"218",2010,"Squawkum Creek","Chum","CM-02","Lower Fraser Chum",46037,NA,NA,9274,9274,46037,NA,NA,NA
"219",2010,"Street Creek","Chum","CM-02","Lower Fraser Chum",47000,NA,NA,210,210,47000,NA,NA,NA
