"CU_Name","Year","SpnForTrend_Total","CU_ID","Dataset","Species","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Recruits_Total","Recruits_Wild","DU_ID"
"Northeast Vancouver Island",1981,12409.80801,"CM-05","Cm_ISC","Chum",12409.80801,12409.80801,12409.80801,"NA","NA","NA"
"Northeast Vancouver Island",1982,67231.44627,"CM-05","Cm_ISC","Chum",67231.44627,67231.44627,67231.44627,"NA","NA","NA"
"Northeast Vancouver Island",1983,9468.842482,"CM-05","Cm_ISC","Chum",9468.842482,9468.842482,9468.842482,"NA","NA","NA"
"Northeast Vancouver Island",1984,45855.44712,"CM-05","Cm_ISC","Chum",45855.44712,45855.44712,45855.44712,"NA","NA","NA"
"Northeast Vancouver Island",1985,81316.87128,"CM-05","Cm_ISC","Chum",81316.87128,81316.87128,81316.87128,"NA","NA","NA"
"Northeast Vancouver Island",1986,102881.5758,"CM-05","Cm_ISC","Chum",102881.5758,102881.5758,102881.5758,"NA","NA","NA"
"Northeast Vancouver Island",1987,18222.75264,"CM-05","Cm_ISC","Chum",18222.75264,18222.75264,18222.75264,"NA","NA","NA"
"Northeast Vancouver Island",1988,117384.2509,"CM-05","Cm_ISC","Chum",117384.2509,117384.2509,117384.2509,"NA","NA","NA"
"Northeast Vancouver Island",1989,29084.35998,"CM-05","Cm_ISC","Chum",29084.35998,29084.35998,29084.35998,"NA","NA","NA"
"Northeast Vancouver Island",1990,93402.88966,"CM-05","Cm_ISC","Chum",93402.88966,93402.88966,93402.88966,"NA","NA","NA"
"Northeast Vancouver Island",1991,88879.1016,"CM-05","Cm_ISC","Chum",88879.1016,88879.1016,88879.1016,"NA","NA","NA"
"Northeast Vancouver Island",1992,142702.6631,"CM-05","Cm_ISC","Chum",142702.6631,142702.6631,142702.6631,"NA","NA","NA"
"Northeast Vancouver Island",1993,66001.83401,"CM-05","Cm_ISC","Chum",66001.83401,66001.83401,66001.83401,"NA","NA","NA"
"Northeast Vancouver Island",1994,96587.79578,"CM-05","Cm_ISC","Chum",96587.79578,96587.79578,96587.79578,"NA","NA","NA"
"Northeast Vancouver Island",1995,67376.4278,"CM-05","Cm_ISC","Chum",67376.4278,67376.4278,67376.4278,"NA","NA","NA"
"Northeast Vancouver Island",1996,4311.210953,"CM-05","Cm_ISC","Chum",4311.210953,4311.210953,4311.210953,"NA","NA","NA"
"Northeast Vancouver Island",1997,75258.80996,"CM-05","Cm_ISC","Chum",75258.80996,75258.80996,75258.80996,"NA","NA","NA"
"Northeast Vancouver Island",1998,165441.007,"CM-05","Cm_ISC","Chum",165441.007,165441.007,165441.007,"NA","NA","NA"
"Northeast Vancouver Island",1999,2597.423169,"CM-05","Cm_ISC","Chum",2597.423169,2597.423169,2597.423169,"NA","NA","NA"
"Northeast Vancouver Island",2000,3098.442596,"CM-05","Cm_ISC","Chum",3098.442596,3098.442596,3098.442596,"NA","NA","NA"
"Northeast Vancouver Island",2001,76080.19462,"CM-05","Cm_ISC","Chum",76080.19462,76080.19462,76080.19462,"NA","NA","NA"
"Northeast Vancouver Island",2002,199417.3977,"CM-05","Cm_ISC","Chum",199417.3977,199417.3977,199417.3977,"NA","NA","NA"
"Northeast Vancouver Island",2003,23409.04438,"CM-05","Cm_ISC","Chum",23409.04438,23409.04438,23409.04438,"NA","NA","NA"
"Northeast Vancouver Island",2004,10729.86411,"CM-05","Cm_ISC","Chum",10729.86411,10729.86411,10729.86411,"NA","NA","NA"
