"Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","STK_ID","STK_NAME"
"Sockeye",1990,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1991,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1992,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1993,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1994,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1995,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1996,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1997,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1998,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",1999,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2000,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2001,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2002,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2003,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2004,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2005,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2006,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2007,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2008,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2009,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2010,NA,NA,NA,NA,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2011,9426,9426,9426,9426,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2012,12236,12236,12236,12236,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2013,9110,9110,9110,9110,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2014,49731,49731,49731,49731,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2015,10160,10160,10160,10160,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2016,33090,33090,33090,33090,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2017,25364,25364,25364,25364,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2018,25420,25420,25420,25420,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2019,16338,16338,16338,16338,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2020,32889,32889,32889,32889,NA,"Skaha",NA,NA,"Skaha"
"Sockeye",2021,8774,8774,8774,8774,NA,"Skaha",NA,NA,"Skaha"
