"CU_ID","Year","Value"
"CU-12",2018,23330.8743980051
"CU-12",2019,11898.0741810402
"CU-12",2020,7013.62147636081
"CU-12",2021,8861.24933390774
"CU-12",2022,15140.8882387836
"CU-12",2023,NA
"CU-13",1995,1330.66416122568
"CU-13",1996,1337.15450157858
"CU-13",1997,1436.94283676158
"CU-13",1998,2486.41955687252
"CU-13",1999,2110.15277624955
"CU-13",2000,2638.31765008292
"CU-13",2001,4249.01193972373
"CU-13",2002,6402.77217982717
"CU-13",2003,12758.9837023054
"CU-13",2004,15959.8885070549
"CU-13",2005,12861.77048311
"CU-13",2006,11878.5362678001
"CU-13",2007,9433.64840387266
"CU-13",2008,4980.58458003849
"CU-13",2009,5376.88583001184
"CU-13",2010,4440.76617942502
"CU-13",2011,4777.13333220006
"CU-13",2012,4868.10908223752
"CU-13",2013,4824.81562427326
"CU-13",2014,4040.5686393449
"CU-13",2015,4167.53363074744
"CU-13",2016,4783.80874235941
"CU-13",2017,4716.58029774244
"CU-13",2018,3133.13531712688
"CU-13",2019,928.472646401325
"CU-13",2020,441.159458185792
"CU-13",2021,331.672353418338
"CU-13",2022,351.132673383496
"CU-13",2023,NA
"CU-14",1995,3149.40332985269
"CU-14",1996,4219.3317902033
"CU-14",1997,6132.83893896401
"CU-14",1998,6126.37908540474
"CU-14",1999,6470.73145821731
"CU-14",2000,5045.73833282618
"CU-14",2001,4342.89533669633
"CU-14",2002,4568.84065054281
"CU-14",2003,4810.28574590237
"CU-14",2004,3257.51191360371
"CU-14",2005,2595.90533718677
"CU-14",2006,1754.24706916983
"CU-14",2007,1852.5554598017
"CU-14",2008,1383.75532925162
"CU-14",2009,1254.27721552678
"CU-14",2010,1674.00566728822
"CU-14",2011,1884.75603542079
"CU-14",2012,2897.97876342019
"CU-14",2013,3037.13097340255
"CU-14",2014,2832.19501198573
"CU-14",2015,2321.86715274143
"CU-14",2016,2251.77293367206
"CU-14",2017,2304.27721265899
"CU-14",2018,2026.02866560932
"CU-14",2019,1660.01241645569
"CU-14",2020,1771.90540939195
"CU-14",2021,2383.00318281266
"CU-14",2022,2939.87371521715
"CU-14",2023,NA
"CU-15",1995,NA
"CU-15",1996,NA
"CU-15",1997,671.044127550769
"CU-15",1998,724.40584316793
"CU-15",1999,635.382510844133
"CU-15",2000,761.87715230662
"CU-15",2001,1046.18836764805
"CU-15",2002,1435.56849685137
"CU-15",2003,1103.34682828323
"CU-15",2004,630.549567023286
"CU-15",2005,535.451411468377
"CU-15",2006,606.509591049883
"CU-15",2007,536.698960442587
"CU-15",2008,330.775418923666
"CU-15",2009,174.19969491252
"CU-15",2010,130.4510901593
"CU-15",2011,181.589981067998
"CU-15",2012,220.293617533066
