"","Year","Horsefly Channel","Horsefly River","Horsefly River - Above Falls","Horsefly River, lower","Horsefly River, upper","McKinley Creek","McKinley Creek, lower","McKinley Creek, upper","Cameron Creek","Mitchell River","Penfold Creek","CU_Data[, !is.na(match(colnames(CU_Data), levels(as.factor(CU_Q$Quesnel_S_Little))))]","Baxter Beach","Bear Beach - Shore","Betty Frank's - Shore","Big Slide - Shore","Big Slide, 1 km. West - shore","Bill Miner Cr. - Shore","Bill Miner Cr. - Shore 3 km west","Blue Lead Cr. - Shore","Bouldery Cr. - Shore","Bouldery Cr. - Shore 2 km east","Bowling Point","Deception Point","Devoe Creek - Shore","Double T - Shore","East Arm - unnamed creek 1","East Arm - unnamed creek 2 - shore","East Arm - unnamed point","Elysia - Shore","Elysia shore - 1 km west","Franks Creek - shore","Goose Point - Shore","Goose Pt., .8 km south - shore","Goose Pt., 5 km south - shore","Grain Cr. - Shore","Horsefly Lake","Hurricane Point","Junction Shore","Killdog Creek - Shore","Lester Shore","Limestone Point - Shore","Limestone Pt, .5 km south - shore","Logger Landing","Long Cr. - Shore","Lynx Cr. - Shore","Marten Cr. - Shore","North Arm - shore, Bowling to Goose Pt.","North Arm - shore, Roaring to Deception Pt.","North Arm - unnamed cove","Opa Beach","Penfold Camp Shore","Quartz Point","Quesnel Lake","Roaring Point","Roaring R. - Shore","Slate Bay","Slate Bay, 1 km east","Tasse Creek - shore","Wasko Creek - shore","Watt Cr. - Shore"
"21",1970,NA,373,NA,NA,NA,0,NA,NA,NA,15,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1971,NA,16,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1972,NA,34,NA,NA,NA,10,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1973,NA,NA,NA,3440,91031,NA,4900,1863,NA,11178,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1974,NA,2587,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1975,NA,NA,NA,NA,53,52,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1976,NA,NA,NA,1,31,NA,172,1,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1977,NA,NA,NA,23171,115470,NA,7018,1717,NA,13088,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1978,NA,NA,NA,244,3431,NA,43,3,NA,628,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1979,NA,NA,NA,NA,238,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
