"Year","Adams Channel","Adams Lake","Adams Lake - misc. east side shore","Adams Lake - misc. north end shore","Adams Lake - misc. south end shore","Adams River - shore","Adams River, lower","Adams River, upper","Anstey River","Anstey River - shore","Bessette Creek","Blurton Creek","Bush Creek","Bush Creek - shore","Canoe Creek","Celista Creek","Cooke Creek","Crazy Creek","Cruikshank Pt. West - shore","Eagle River","Four Mile Creek - shore","Hiuihill Creek","Hlina Creek - shore","Hunakwa Creek","Johnson Creek","Kingfisher Creek","Knight Creek - shore","Lee Creek - shore","Little River","Lower Shuswap River","Mara Lake - shore","McNomee Creek","Middle Shuswap River","Momich River","Momich River - shore","Nikwikwaia Creek","Noisy Creek","Onyx Creek","Onyx Creek - shore","Perry River","Queest Creek - shore","Reinecker Creek","Reinecker Creek - shore","Ross Creek","Ross Creek - shore","Salmon River","Scotch Creek","Scotch Creek - shore","Seymour River","Shuswap L. - Main Arm north side","Shuswap L. - Main Arm south side","Shuswap L. - Salmon Arm east side","Shuswap L. - Salmon Arm north side","Shuswap L. - Salmon Arm south side","Shuswap Lake","Shuswap Lake - Anstey Arm","Shuswap Lake - Main Arm","Shuswap Lake - Salmon Arm","Shuswap Lake - Seymour Arm","Sicamous Creek","Sinmax Creek","Sinmax Creek - shore","South Thompson River","Tappen Creek","Trinity Creek","Tsuius Creek","Tsuius Creek - Shore","Vanishing Creek - shore","Wap Creek","Yard Creek","ETS"
1982,NA,1839,NA,NA,NA,NA,2025128.5632,0,981,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,32350,NA,NA,NA,2341,NA,NA,NA,NA,235160.7928,511944.1914,NA,NA,39937.3,112,NA,1833,353,NA,NA,NA,NA,214,NA,1446,NA,1601,4847,NA,90,NA,NA,NA,NA,NA,NA,14720.8855,36808,19916,1474.7845,NA,2724,NA,72991.36,563,NA,126,NA,NA,686,NA,3010270.8774
1983,NA,NA,NA,NA,NA,NA,201025.331,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,0,NA,NA,NA,NA,0,7308,NA,NA,27,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,43,NA,0,NA,NA,NA,NA,NA,NA,351,1391,72,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,NA,210780.331
1984,NA,NA,NA,NA,NA,NA,4183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,49,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,4335
1985,NA,NA,NA,NA,NA,NA,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,38,817,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1484
1986,NA,2899.647,NA,NA,NA,NA,1304682.6294,NA,3168,NA,NA,NA,101.4138,NA,41,NA,NA,NA,NA,25697,NA,NA,NA,299,NA,NA,NA,NA,223285.6188,598809.038,NA,NA,79723.71,308.1798,NA,80.7372,121.6828,NA,NA,NA,NA,NA,NA,NA,NA,1465,4141.2276,NA,1145,NA,NA,NA,NA,NA,NA,7800.528,24693.696,6824.465,154.535,NA,572.0526,NA,30145.4982,1006,NA,12.9662,NA,NA,1066.2206,NA,2318244.846
1987,NA,46.2762,NA,NA,NA,NA,559241.9694,NA,436,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1532,NA,NA,NA,0,NA,NA,NA,NA,17720.8308,10343,NA,NA,787,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,317,NA,43,NA,NA,NA,NA,NA,NA,796.603,2532.38,226.319,0,NA,13.7844,NA,18,0,NA,NA,NA,NA,NA,NA,594054.1628
1988,NA,NA,NA,NA,NA,NA,4578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,225,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5007
1989,NA,0,NA,NA,NA,NA,73,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,2,488,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,0,0,NA,0,NA,NA,0,NA,565
1990,6714.816,6412.728,NA,NA,NA,NA,2035283.952,0,4960.318,NA,NA,NA,76,NA,128,42,NA,NA,NA,56132.56,NA,2908.3706,NA,1173.469,NA,NA,NA,NA,353425.248,982300.8228,NA,12,96354.2031,453,NA,2360,0,110,NA,0,NA,NA,NA,0,NA,1286.4544,28788,NA,374,NA,NA,NA,NA,NA,NA,10654,29329,16774,1456,NA,1775,NA,32276.5125,1374.49,NA,0,NA,NA,1730.9204,NA,3674665.8648
1991,2948.4236,415.3966,NA,NA,NA,NA,1190848.8606,1.9828,726.6962,NA,NA,NA,0,NA,0,0,NA,NA,NA,2758.344,NA,572.0176,NA,64.441,NA,NA,NA,NA,11263.794525,15668.5932,NA,NA,576.0034,24.785,NA,2095,NA,0,NA,24.785,NA,NA,NA,NA,NA,40.6474,10498.6608,NA,39.656,NA,NA,NA,NA,NA,NA,1168.8606,2487.4226,433.2418,24.785,NA,28.7506,NA,61,NA,NA,NA,NA,NA,NA,NA,1242772.148325
1992,0,0,NA,NA,NA,NA,11990.244,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,54,NA,0,NA,0,NA,NA,NA,NA,83,240,NA,0,180,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,20,NA,0,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,12716.244
1993,NA,NA,NA,NA,NA,NA,518.778,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,24.9392,NA,NA,NA,0,NA,NA,NA,NA,14.4105,714.604,NA,NA,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,2.8776,8,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,30,NA,NA,NA,NA,NA,NA,NA,1313.6093
1994,2020.0326,428,NA,NA,NA,NA,676595.5474,0,1836,NA,NA,NA,0,NA,48.7354,12.9298,NA,NA,NA,28350,NA,194,NA,646,NA,NA,NA,NA,197319.552,364352.051,NA,0,31710.582,75.5896,NA,272,0,0,NA,29,NA,0,NA,0,NA,89,3424.542,NA,485.3648,NA,NA,NA,NA,NA,NA,4408,16278.25,6161.9855,336.31,NA,431.9865,NA,25058.9368,314.1432,NA,169,NA,NA,625,0,1361672.5386
1995,1350.393,111.4554,NA,NA,NA,NA,382488.666,0,88.0404,NA,NA,NA,0,NA,1.8732,0,NA,NA,NA,802.6662,NA,425,NA,26.2248,NA,NA,NA,NA,7088.4356,12330,NA,NA,155,1.8732,NA,633.7656,NA,0,NA,0,NA,NA,NA,0,NA,8,1459.3437,NA,0,NA,NA,NA,NA,NA,NA,697.767,3055.1892,346.8,3.7464,NA,35.8872,NA,270,0,NA,0,NA,NA,0,NA,411380.1269
1996,NA,NA,NA,NA,NA,NA,10365.1618,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,26.5234,NA,0,NA,0,NA,NA,NA,NA,211,566.9915,NA,0,53.0468,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,29.2672,NA,0,NA,NA,NA,NA,NA,NA,0,112.7,0,NA,NA,0,NA,7,0,NA,NA,NA,NA,NA,0,11371.6907
1997,NA,NA,NA,NA,NA,NA,876.345,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,9,92.0046,NA,NA,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,977.3496
1998,NA,1153.9512,NA,NA,NA,NA,833469.483,0,733,NA,NA,NA,368.2404,NA,0,54,NA,NA,NA,11398,NA,884,NA,308.2828,NA,NA,NA,NA,161914.7745,277049.45,NA,0,15205.5306,88.614,NA,738,NA,NA,NA,5,NA,NA,NA,NA,NA,271.6558,3038.7175,NA,104.995,NA,NA,NA,NA,NA,NA,1801.275,5055.281,3035.973,155,NA,874.3748,NA,2222.1424,175.8284,NA,634.4366,NA,NA,1034.1254,0,1321774.1314
1999,NA,149.9081,NA,NA,NA,NA,242226.0864,0,22.7275,NA,NA,NA,0,NA,0,0,NA,NA,NA,433.6407,NA,16.565,NA,5.9634,NA,NA,NA,NA,6722.3875,6147.2128,NA,NA,251.1303,5.2497,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,194.5,NA,0,NA,NA,NA,NA,NA,NA,47.2732,206.244,62.25,0.612,NA,1.3252,NA,6.255,0,NA,NA,NA,NA,0,0,256499.3308
2000,NA,0,NA,NA,NA,NA,394.9452,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,14.1426,37.5,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,10.476,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,461.0638
2001,NA,0,NA,NA,NA,NA,2821.2018,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,5.4283,NA,0,NA,0,NA,NA,NA,NA,649.3032,55.4258,NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0.5714,17.0601,NA,2,NA,NA,NA,NA,NA,NA,NA,177.9498,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,3728.9404
2002,4420.5488,NA,2034.0936,110.4349,1367.575,13825.55,3658922.7536,2939.6003,3932.8454,NA,NA,NA,0,948.8484,72.3424,2466.0027,NA,NA,9734.166,48578.8992,9012.3077,2154.9552,2622.4732,1809.6095,NA,NA,3157.0461,17534.2232,660056.9352,692284.854,139.8384,5.5776,104971.5408,624.4816,40.0693,644.8932,0,0,3015.688,0,954.8992,NA,5884.9648,0,21891.8105,73.32,17649.0158,12504.17,2769.6768,62.8252,2792.5164,290.3589,5527.5012,1719.8181,NA,NA,NA,NA,1269.8685,NA,1545.438,596.808,5598.736,339.2272,NA,273.8432,NA,124.5258,5245.4801,0,5334542.957
