"Year","15 Mile Creek","25 Mile Creek","Ankwill Creek","Baptiste Creek","Bates Creek","Bivouac Creek","Blackwater Creek","Blanchet Creek","Blanchet North Creek","Casamir Creek","Consolidated Creek","Crow Creek","Driftwood River","Dust Creek","Fleming Creek","Forfar Creek","French Creek","Frypan Creek","Gluske Creek","Hooker Creek","Hudson Bay Creek","Kastberg Creek","Kazchek Creek","Kotsine River","Leo Creek","Lion Creek","Lovell Creek","Maclaing Creek","McDougall Creek","Middle River (Rossette Bar)","Narrows Creek","O'Ne-ell Creek","Paula Creek","Point Creek","Porter Creek","Sakeniche River","Sandpoint Creek","Shale Creek","Sidney Creek","Sinta Creek","Takla Lake - shore","Tildesley Creek","Tliti Creek","Tliti Creek (10 Mile)","Van Decar Creek","ETS"
1981,740.1015,812.7015,8033.0638,NA,0,268.242,1173.725,247.491,NA,NA,NA,750.936,41740.485,4037.04,301.8256,10658.6337,186.15,1575.8256,9858.0898,227.6197,15.4208,1316.69,298.7606,967.22,62.6808,566.565,2339.2344,319.4433,11,NA,3028.3516,12781.3735,1486.1224,765.0078,3541.4725,0,1095.8472,1555.183,5631.5848,0,NA,NA,0,NA,6773.7392,123167.6271
1982,12.3255,0,37.7982,NA,NA,0,NA,0,NA,NA,NA,40,23.8293,99,2,580.346,NA,32.868,347.6784,0,NA,NA,NA,NA,0,NA,2,NA,0,NA,72.0018,1000.7025,51,0,NA,0,4,19,394.4352,0,NA,NA,NA,NA,1032.33,3751.3149
1983,20.539,0,39.292,NA,NA,778.4946,NA,9.823,NA,NA,NA,168.9273,0,107.4241,17.8668,3117.7062,0,42.864,3216.1186,0,13.395,NA,0,NA,24.2298,NA,11.609,13.395,0,NA,801.741,6363.7545,800.3172,86,NA,NA,567.216,113.411,1179.8672,0,NA,NA,NA,NA,2931.6392,20425.6305
1984,9.7691,0,87.2982,NA,NA,521.1648,NA,0,NA,NA,NA,219,NA,229.1298,7.0824,6197.44,NA,118.1173,6213.7232,0,13.3215,NA,NA,NA,0,NA,0,17.762,0,NA,1354.9088,14791.6864,467.0168,0,NA,NA,1049.2696,262.8776,1328.633,0,NA,NA,NA,NA,7305.274,40193.4745
1985,321.552,531.5794,11159.148,NA,0,867.0061,254.3922,160.55,NA,NA,130.3874,1666.6857,85671.8162,4885.805,1276.8903,17739.59,519.3477,2679.6332,16153.7805,360.0576,37.7124,691.1444,435,1074.1004,26.4422,342.8368,3132.4986,565.7146,27.354,NA,3773.7894,18166.0505,3018.1344,1843.078,254.3922,1753.2152,1456.9903,1614.4038,18533.0364,0,NA,NA,NA,NA,14565.1752,215689.2901
1986,30.6144,0,1226.4197,NA,NA,57.4977,0,20.0907,NA,NA,NA,649.6875,69.8391,338.4,10.5237,4746.5121,10.5237,260.1779,3291.7256,0,0,NA,NA,NA,0,NA,91.8432,0,0,NA,1003.8336,6562.0196,169,129.9948,NA,7.6536,182.9342,366.827,3649.0614,0,NA,NA,NA,NA,4472.459,27347.6385
1987,234,1420.5795,1345.0902,NA,NA,470.0376,0,243,NA,NA,NA,517.0284,0,1409.0625,5071.4667,20922.0674,51,770.5329,18070.5076,400,0,NA,NA,NA,0,NA,584,0,0,1198.281,10733.7592,37437.135,4583.4269,927.03,NA,548.5528,3208.3436,2600.5824,8021.2869,0,NA,NA,NA,NA,14449.806,135216.5766
1988,96.7479,75,425.3076,NA,NA,4191.642,NA,13.4106,0,NA,NA,743,60.3477,4247.3286,5251.0692,23635.15,NA,481,17140.9672,339,NA,NA,NA,NA,0,NA,273.0015,0,14.3685,14413.0532,6388.0848,50760.42,8084.578,200,NA,19.158,4879.3215,468.6057,13520.6734,0,NA,NA,NA,NA,18223.7506,173944.986
1989,1145.34,947.4864,10234.466,NA,NA,2090.015,898.32,302.6646,NA,NA,NA,1402.5396,219236.5228,11906.0433,8565.0354,10702.958,268,5047.5312,8980.6626,856.8896,54.8622,1764.34,NA,NA,NA,3065.9496,4909.212,573.196,0,0,7521.7764,22005.6494,7404.3896,1438.0608,9796.0404,1066.384,706.6158,2243.323,15224.1608,NA,NA,NA,NA,NA,5463.5994,365822.0339
1990,157.7235,849.7951,1504.5866,NA,NA,859.7736,NA,323.0942,NA,NA,NA,559.2015,5216.3463,3138.2197,2346.7345,14544.2682,NA,1889.8143,11730.6264,331.6973,0,NA,NA,NA,NA,0,770.4554,0,37.2801,329.188,4953.7926,20525.5605,3182.3276,424.4196,NA,308.7557,1251.6675,1208.6235,10439.3839,NA,NA,NA,NA,NA,6575.3394,93458.675
1991,431,1150.2027,2694,NA,NA,1116.9691,NA,409,NA,NA,NA,1653.3838,1678.032,3151.188,8326.641,21028.3356,18.5364,1438.733,16917.32,227.05,5.6736,0,NA,NA,NA,1000.9656,1005,0,0,NA,6597.1808,28050.7225,8252.856,224,0,1561.14,1693,1991,14781.4092,91,NA,NA,NA,NA,13004.848,138499.1873
1992,140.875,1178.6496,692.9404,NA,NA,65.7477,0,173.8392,NA,NA,NA,1108.8848,366.0767,642.8664,964.008,11038.9832,NA,394.3292,3078.2096,278.3222,24,0,NA,NA,NA,7.3053,139,NA,0,0,2202.599,10332.816,1487.6055,499.6901,80.3583,806.8608,265.005,1123.6505,9008.1192,NA,NA,NA,NA,NA,12361.665,58462.4067
1993,584.3012,919,11221.6431,NA,1323.4416,11081.5032,1726.8576,221,NA,NA,NA,3724.574,404116.7475,48971.9062,529.254,18446.61,3259.7375,5489.8192,21819.6456,1386.9926,3265.4876,2089.824,43.186,1305.9072,1332.9275,6307.8624,6125.2989,1895.092,495.8724,NA,5647.4217,20715.75,22522.82,3495.8328,10015.482,1035.958,6064.7073,2232.38,36234.297,3481.4208,NA,1127.115,NA,61,9436.141,679754.8169
1994,2.826,91.374,595,NA,NA,626.0996,2,12.3032,NA,NA,NA,135.24,1630,319.8832,79.7132,4099.2372,0,363.8232,3670.3455,33.3944,0,0,NA,NA,0,NA,21.0912,0,0,NA,605.275,3982.9798,986.5425,145,894,0,509.976,241,4335.2456,0,NA,NA,NA,NA,3516.1576,26898.5072
1995,63.1728,405.3588,1003.9314,0,0,2246.67,121.6618,115.8168,NA,NA,NA,788.362,2857.154,886.788,4234.8108,15449.0154,72.8242,1147.7025,14497.914,125,1.7548,0,NA,0,0,71.31,438.9255,111.4308,0,119.0025,2011.0395,27055.1211,8315.3036,373.578,918.4728,1039.9485,1157.5576,1046.7954,10764.5846,0,NA,NA,NA,NA,10801.0195,108242.0267
1996,252,565.5174,1812.1453,NA,NA,1610.6717,34.9986,139.4008,NA,NA,NA,1448,774.969,1992,4868.652,8690.037,247.2,1782.8292,9059.666,189.0928,362.824,NA,NA,NA,361.7838,310.8209,758.8275,721.5912,59.1976,391.1921,3283.8444,10799.1495,5334.341,557.1351,789.9684,216.7396,2821.6262,1695.6,15447.1431,0,NA,NA,NA,NA,6162.9743,83541.9385
1997,754,1537.8666,2520.9343,NA,515.7958,2809.0392,869.9544,154.9389,NA,NA,NA,4096.3258,13303.9516,64862.1792,2213.264,10240.1334,820.1655,2402.3395,11067.7188,482.8678,2067.9,235.664,1036.3646,929.06,699.312,2021.0718,935.55,3358.1832,3098.277,717.519,9760.842,17220.8496,10374.675,2099.9304,4767.048,2452.1805,5484.0526,999.0732,13559.8925,4751.2064,NA,2144.0995,58.5,5.6063,9874.1358,217302.4682
1998,250,190.205,770.868,NA,0,0,27,0,NA,NA,NA,201.1091,5157.893,1630.907,53.0088,952.428,32.1875,525.725,1020.6911,59.0915,39.2369,0,15,2.236,0,37.453,266.1416,113,0,20.7136,978.9208,1356.6665,662.9994,385.4332,1162.161,124.0643,56.5456,230.8011,1350.3652,0,NA,NA,0,NA,678.3704,18351.2226
1999,13.6048,22.1078,57.8204,NA,0,517.7304,0,0,NA,NA,NA,21,106.2875,298.4553,598.2723,1882.8384,0,117.3414,1714.1895,0,73,0,213.4253,0,0,5.1018,31,11.9042,35.556,118.4228,332.5548,6418.1395,1012.22,43.3355,44.2156,68.5272,120.5412,73.9761,2022.2725,0,NA,0,0,NA,5502.8664,21476.7067
