System_name_display,popID
Pitt River-Upper,47921
Porritt Creek,41803
Portage Creek,47189
Power River,39688
Ptarmigan Creek,47517
Puntledge River,53068
Puntledge River,53069
Qualicum River,51368
Quatam River,50528
Quatse River,52573
Quesnel River,46881
Quinsam River,52948
Raft River,46718
Renfrew Creek,40283
Richards Creek,49823
Robbers Knob Creek,50748
Roberts Creek,48642
Robertson River,234
Robson River,2076
Rocky Creek,40173
Rosewall Creek,51298
Salmon River,46407
Salmon River,47317
Salmon River,52718
San Josef River,42403
San Juan River,40253
Sand River,44536
Sarita River,40458
Scotch Creek,46296
Seebach Creek,47357
Serpentine River,2168
Seton And Cayoosh Creeks,47199
Seton River,2178
Seymour River,46336
Seymour River,49843
Seymour River,49532
Shannon Creek,48802
Shaw Creek,244
Shawnigan Creek,40043
Shoal Creek,50728
Shovel Creek,45520
Shovelnose Creek,50074
Shuswap River-Lower,46437
Shuswap River-Middle,46447
Silburn Creek,41893
Silverado Creek,41298
Sim River,50888
Simms Creek,52958
Skwawka River,48902
Sliammon Creek,49062
Slim Creek,47477
Sloquet Creek,46097
Small Creek,45325
Smith Creek,40818
Snowshoe Creek,47519
Snug Basin Creek,40638
Somass River,40548
Somass-Sproat-Gc System,3306
Sooke River,40153
South Thompson River,46226
Southgate River,50548
Spakwaniko Creek,47417
Spius Creek,46186
Spring Creek,50069
Squamish River,49928
Stafford River,50668
Stave River,48009
Stawamus River,49912
Stein River,47175
Stellako River,46021
Stephens Creek,42113
Stuart River,45535
Sucwoa River,41458
Sugsaw Creek,40438
Sus Creek,2468
Sutton Mill Creek,52298
Swift Creek,46961
Swift River,2483
Sydney River,41208
Tachie River,45550
Tahsis River,41518
Tahsish River,41883
Tahumming River,50498
Taseko Lake,46861
Taseko River,2507
Tatchu Creek,41793
Teaquahan River,50558
Tenderfoot Creek,50014
Theodosia River,49082
Thompson River,46165
Thornton Creek,40808
Tipella Creek,46082
Tlupana River,41423
Toba River,49802
Tod Creek,40063
Tofino Creek,52208
Toquart River,40798
Torpy River,47497
Tranquil Creek,52218
Trent River,52038
Tsable River,52058
Tsitika River,52678
Tsolum River,53078
Tsowwin River,41488
Tuna River,50718
Twin Creeks (Combined),44497
Twin Rivers West Creek,39578
Tzoonie River,48842
Uchuck Creek,40658
Utluh Creek,39928
Vancouver River,48862
Wakeman River,51118
Walker Creek,47507
Wallace Creek,40718
Wanokana Creek,42133
Wansa Creek,47337
Wap Creek,46527
Warn Bay Creek,52228
Warner Bay Creek,49512
Washlawlis Creek,42103
Watta Creek,41168
Waump Creek,49612
Weaver Creek,46048
West Road (Blackwater) River,45991
West Twin Creek,2762
White River,52728
Willow Creek,52968
Willow River,47327
Wilson Creek,48662
Woods Creek,52978
Woss River,60010
Yalakom River,47234
Zeballos River,41713
