"","CU_name","Return.Year","TribDeme","Estimate"
"154","Lower Thompson",1976,"Bonaparte R",NA
"155","Lower Thompson",1976,"Brook Cr",NA
"156","Lower Thompson",1976,"Clapperton Cr",NA
"157","Lower Thompson",1976,"Coldwater R",NA
"158","Lower Thompson",1976,"Deadman R",NA
"159","Lower Thompson",1976,"Guichon Cr",NA
"160","Lower Thompson",1976,"Juliet Cr",NA
"161","Lower Thompson",1976,"Kamloops Lake",NA
"162","Lower Thompson",1976,"Maka Cr",NA
"163","Lower Thompson",1976,"Nicola R (DAM)",NA
"164","Lower Thompson",1976,"Nicola R (DOT)",NA
"165","Lower Thompson",1976,"Nooaitch Cr",NA
"166","Lower Thompson",1976,"Quilchena Cr",NA
"167","Lower Thompson",1976,"Skuhun Cr",NA
"168","Lower Thompson",1976,"Spahomin Cr",NA
"169","Lower Thompson",1976,"Spius Cr",NA
"170","Lower Thompson",1976,"Thompson R",NA
"171","Lower Thompson",1976,"Tranquille R",NA
"172","Lower Thompson",1977,"Bonaparte R",NA
"173","Lower Thompson",1977,"Brook Cr",NA
"174","Lower Thompson",1977,"Clapperton Cr",NA
"175","Lower Thompson",1977,"Coldwater R",NA
"176","Lower Thompson",1977,"Deadman R",NA
"177","Lower Thompson",1977,"Guichon Cr",NA
"178","Lower Thompson",1977,"Juliet Cr",NA
"179","Lower Thompson",1977,"Kamloops Lake",NA
"180","Lower Thompson",1977,"Maka Cr",NA
"181","Lower Thompson",1977,"Nicola R (DAM)",NA
"182","Lower Thompson",1977,"Nicola R (DOT)",NA
"183","Lower Thompson",1977,"Nooaitch Cr",NA
"184","Lower Thompson",1977,"Quilchena Cr",NA
"185","Lower Thompson",1977,"Skuhun Cr",NA
"186","Lower Thompson",1977,"Spahomin Cr",NA
"187","Lower Thompson",1977,"Spius Cr",NA
"188","Lower Thompson",1977,"Thompson R",NA
"189","Lower Thompson",1977,"Tranquille R",NA
"190","Lower Thompson",1978,"Bonaparte R",NA
"191","Lower Thompson",1978,"Brook Cr",NA
"192","Lower Thompson",1978,"Clapperton Cr",NA
"193","Lower Thompson",1978,"Coldwater R",NA
"194","Lower Thompson",1978,"Deadman R",NA
"195","Lower Thompson",1978,"Guichon Cr",NA
"196","Lower Thompson",1978,"Juliet Cr",NA
"197","Lower Thompson",1978,"Kamloops Lake",NA
"198","Lower Thompson",1978,"Maka Cr",NA
"199","Lower Thompson",1978,"Nicola R (DAM)",NA
