"","CU_name","Return.Year","TribDeme","Estimate"
"1208","North Thompson",1989,"E Barriere R",663
"1209","North Thompson",1989,"Fennell Cr",249
"1210","North Thompson",1989,"Finn Cr",622
"1211","North Thompson",1989,"Haggard Cr",17
"1212","North Thompson",1989,"Harper Cr",17
"1213","North Thompson",1989,"Lemieux Cr",728
"1214","North Thompson",1989,"Lindquist Cr",11
"1215","North Thompson",1989,"Louis Cr",607
"1216","North Thompson",1989,"Lyon Cr",2693
"1217","North Thompson",1989,"Mann Cr",62
"1218","North Thompson",1989,"N Thompson R (mid)",2818
"1219","North Thompson",1989,"N Thompson R (upr)",442
"1220","North Thompson",1989,"Paul Cr",17
"1221","North Thompson",1989,"Peterson Cr",9
"1222","North Thompson",1989,"Pig Channel",527
"1223","North Thompson",1989,"Raft R",704
"1224","North Thompson",1989,"Reg Christie Cr",91
"1225","North Thompson",1989,"Saskum Cr",25
"1226","North Thompson",1989,"Shannon Cr",62
"1227","North Thompson",1989,"Tumtum Cr",104
"1228","North Thompson",1989,"Wire Cache Cr",539
"1229","North Thompson",1990,"Albreda R",3315
"1230","North Thompson",1990,"Avola Cr",41
"1231","North Thompson",1990,"Barriere R",1238
"1232","North Thompson",1990,"Barriere R (lwr)",NA
"1233","North Thompson",1990,"Barriere R (upr)",NA
"1234","North Thompson",1990,"Birch Island Channel",149
"1235","North Thompson",1990,"Blue R",207
"1236","North Thompson",1990,"Cedar Cr",83
"1237","North Thompson",1990,"Cook Cr",414
"1238","North Thompson",1990,"Darlington Cr",7
"1239","North Thompson",1990,"Dunn Cr",1699
"1240","North Thompson",1990,"E Barriere R",250
"1241","North Thompson",1990,"Fennell Cr",829
"1242","North Thompson",1990,"Finn Cr",83
"1243","North Thompson",1990,"Haggard Cr",18
"1244","North Thompson",1990,"Harper Cr",13
"1245","North Thompson",1990,"Lemieux Cr",728
"1246","North Thompson",1990,"Lindquist Cr",8
"1247","North Thompson",1990,"Louis Cr",133
"1248","North Thompson",1990,"Lyon Cr",2486
"1249","North Thompson",1990,"Mann Cr",132
"1250","North Thompson",1990,"N Thompson R (mid)",3207
"1251","North Thompson",1990,"N Thompson R (upr)",320
"1252","North Thompson",1990,"Paul Cr",12
"1253","North Thompson",1990,"Peterson Cr",7
"1254","North Thompson",1990,"Pig Channel",381
"1255","North Thompson",1990,"Raft R",207
"1256","North Thompson",1990,"Reg Christie Cr",829
"1257","North Thompson",1990,"Saskum Cr",18
"1258","North Thompson",1990,"Shannon Cr",8
"1259","North Thompson",1990,"Tumtum Cr",108
"1260","North Thompson",1990,"Wire Cache Cr",622
"1261","North Thompson",1991,"Albreda R",207
"1262","North Thompson",1991,"Avola Cr",83
"1263","North Thompson",1991,"Barriere R",827
"1264","North Thompson",1991,"Barriere R (lwr)",NA
"1265","North Thompson",1991,"Barriere R (upr)",NA
"1266","North Thompson",1991,"Birch Island Channel",100
"1267","North Thompson",1991,"Blue R",83
"1268","North Thompson",1991,"Cedar Cr",73
"1269","North Thompson",1991,"Cook Cr",41
"1270","North Thompson",1991,"Darlington Cr",5
"1271","North Thompson",1991,"Dunn Cr",1910
"1272","North Thompson",1991,"E Barriere R",167
"1273","North Thompson",1991,"Fennell Cr",901
"1274","North Thompson",1991,"Finn Cr",182
