Year,Spawners,Run,Age3,Age4,Age5,Age6,RunAge3,RunAge4,RunAge5,RunAge6,RecAge3,RecAge4,RecAge5,RecAge6,RecAll,Rec45,Rec35,Rec,RpS,RpS35,RpS45,RpS4,lnRpS
2011,35900,100000,0.153,0.806,0.041,0,15300,80600,4100,0,27449.660000000003,170677.91999999998,4933.05,0,203060.62999999998,175610.96999999997,203060.62999999998,203060.62999999998,5.656284958217269,5.656284958217269,4.891670473537603,4.754259610027855,1.732767308905302
2012,90862,403806,0.003,0.985,0.013000000000000001,0,1211.4180000000001,397748.91,5249.478,0,0,157857.6,2357.7,0,160215.30000000002,160215.30000000002,160215.30000000002,160215.30000000002,1.7632816799101936,1.7632816799101936,1.7632816799101936,1.7373335387730846,0.5671766637164474
2013,33820,98733,0.18,0.6910000000000001,0.129,0,17771.94,68224.50300000001,12736.557,0,1644.3500000000001,12039.988,1270.416,0,14954.753999999999,13310.403999999999,14954.753999999999,14954.753999999999,0.44218669426374924,0.44218669426374924,0.3935660555884092,0.356002010644589,-0.8160231008718591
2014,145206,392138,0.07,0.895,0.035,0,27449.660000000003,350963.51,13724.830000000002,0,1320.3120000000001,77971.78199999999,8226.178,0,87518.272,86197.95999999999,87518.272,87518.272,0.6027180144071181,0.6027180144071181,0.5936253322865446,0.5369735548117845,-0.5063058294307483
2015,10255,180040,0,0.948,0.052,0,0,170677.91999999998,9362.08,0,158.802,14463.909000000001,2477.115,0,17099.826,16941.024,17099.826,17099.826,1.667462311067772,1.667462311067772,1.65197698683569,1.4104250609458802,0.5113028964939037
2016,54281,164435,0.01,0.96,0.030000000000000002,0,1644.3500000000001,157857.6,4933.05,0,4548.9130000000005,160682.193,2958.332,NA,NA,163640.525,168189.438,168189.438,3.098495569352075,3.098495569352075,3.0146925259298833,2.960192203533465,1.1309166934858335
2017,9893,15718,0.084,0.766,0.15,0,1320.3120000000001,12039.988,2357.7,0,1981.692,42611.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.307223188112807,NA
2018,30755,79401,0.002,0.982,0.016,0,158.802,77971.78199999999,1270.416,0,11321.309000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,12913,27239,0.167,0.531,0.302,0,4548.9130000000005,14463.909000000001,8226.178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,46510,165141,0.012,0.973,0.015,0,1981.692,160682.193,2477.115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,10457,56891,0.199,0.749,0.052,0,11321.309000000001,42611.359,2958.332,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,75260.45455,NA,0.02,0.953,0.027,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
