Year,Watershed Group Name,Stock Name(stream),Timing Group,CU Name,spnpeak,arrival,Total,jacks,males,females,spawn%,eff_fem,remarks,Estimate Method,Survey Start,Survey End,Number Inspections,est_type,Forecast
1938,Harrison-Lillooet,Bear Creek,T4,Harrison (D/S) - Late,,,0,0,0,0,0,0,None observed?,,,,,,28
1938,Harrison-Lillooet,Douglas Creek,T4,Harrison (D/S) - Late,,,0,0,0,0,0,0,None observed?,,,,,,28
1938,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,,,0,0,0,0,0,0,Present. Dominion Fisheries observation.,Adults Present,10/1/1938,,1,"Type-4: Relative Abundance, medium resolution",28
1938,Mid Fraser,Bridge River,T3,Middle Fraser - Summer,,,0,0,0,0,0,0,None observed?,,,,,,
1938,Early South Thompson,Seymour River,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,None Observed?,,,,,,8
1938,Early South Thompson,Scotch Creek,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,None Observed?,,,,,,15
1938,Early South Thompson,Anstey River,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,None Observed?,,,,,,21
1938,Early South Thompson,Eagle River,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,None Observed?,,,,,,21
1938,Early South Thompson,"Momich River, lower",T2,Shuswap - Early Summer,,,0,0,0,0,0,0,None Observed?,,,,,,21
1938,Early South Thompson,"Adams River, upper",T2,Shuswap - Early Summer,,,0,0,0,0,0,0,None Observed?,,,,,,21
1938,Quesnel,Horsefly River,T3,Quesnel - Summer,,,0,0,0,0,0,0,Four surveys; no sockeye observed.,Peak Live + Cummulative Dead,8/28/1938,10/20/1938,4,"Type-4: Relative Abundance, medium resolution",6
1938,Quesnel,Little Horsefly River,T3,Quesnel - Summer,,,0,0,0,0,0,0,None observed?,,,,,,6
1938,Quesnel,Mitchell River,T3,Quesnel - Summer,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,9/10/1938,,1,"Type-4: Relative Abundance, medium resolution",6
1938,Nechako,Late Nadina River,T2,Nadina-Francois - Early Summer,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,9/10/1938,10/13/1938,2,"Type-4: Relative Abundance, medium resolution",17
1938,Early Stuart,Ankwill Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Bivouac Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,8/8/1938,,1,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Blanchet Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Crow Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Driftwood River,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,Survey conducted over eight days; no evidence of sockeye.,Peak Live + Cummulative Dead,8/31/1938,9/7/1938,8,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Dust Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,8/9/1938,,1,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Sidney Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,Four surveys; no sockeye observed.,Peak Live + Cummulative Dead,7/18/1938,9/12/1938,4,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Lovell Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,French Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Early Stuart,Frypan Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,None observed?,,,,,,1
1938,Chilcotin,S. End Chilko Lake,T2,Chilko - Early Summer,,,0,0,0,0,0,0,Likely not surveyed,,,,,,7
1938,Chilcotin,Taseko Lake,T2,Taseko - Early Summer,,,0,0,0,0,0,0,Likely not surveyed.,,,,,,22
1938,Late South Thompson,South Thompson River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,None observed?,,,,,,9
1938,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,11/6/1938,,1,"Type-4: Relative Abundance, medium resolution",9
1938,Late South Thompson,Momich River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,Late South Thompson,Sinmax Creek,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,Late South Thompson,Lower Shuswap River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,Late South Thompson,Middle Shuswap River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,Late South Thompson,Hunakwa Creek,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,Late South Thompson,Salmon River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,North Thompson,Barriere River,T3,Kamloops - Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,26
1938,North Thompson,"Barriere River, upper",T2,North Barriere - Early Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,14
1938,North Thompson,North Thompson River,T3,Kamloops - Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,25
1938,North Thompson,Clearwater River,T3,Kamloops - Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,26
1938,Quesnel,McKinley Creek,T3,Quesnel - Summer,,,0,0,0,0,0,0,None observed?,,,,,,6
1938,Late South Thompson,Seymour River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1938,Lower Fraser,Emory Creek,T4,CU not identified,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,7/31/1938,,1,"Type-4: Relative Abundance, medium resolution",
1938,Nechako,Bednesti Creek,T3,Francois-Fraser - Summer,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,7/15/1938,,1,"Type-4: Relative Abundance, medium resolution",
1938,Early Stuart,Bates Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,"One survey Aug. 31; no evidence of sockeye, creek mouth dry",Peak Live + Cummulative Dead,8/31/1938,,1,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Lion Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,Two surveys; no evidence of sockeye.,Peak Live + Cummulative Dead,9/1/1938,9/11/1938,2,"Type-4: Relative Abundance, medium resolution",1
1938,Early Stuart,Kastberg Creek,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,One survey Sep. 3; no evidence of sockeye,Peak Live + Cummulative Dead,9/3/1938,,1,"Type-5: Relative Abundance, low resolution",1
1938,Nechako,Uncha Creek,T3,Francois-Fraser - Summer,,,0,0,0,0,0,0,Creek dry on Oct. 18; no sockeye observed.,Peak Live + Cummulative Dead,9/12/1938,10/18/1938,2,"Type-4: Relative Abundance, medium resolution",
1938,Early South Thompson,Four Mile Creek,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,Five surveys; no sockeye observed.,Peak Live + Cummulative Dead,8/15/2015,9/12/2015,5,"Type-3: Relative Abundance, high resolution",21
1938,Harrison-Lillooet,Pemberton Creek,T4,Lillooet-Harrison - Late,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,10/16/1938,10/22/1938,2,"Type-4: Relative Abundance, medium resolution",28
1938,Seton-Anderson,Cayoosh Creek,T3,CU not identified,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,10/14/1938,10/28/1938,2,"Type-4: Relative Abundance, medium resolution",
1938,Harrison-Lillooet,Railroad Creek,T4,Lillooet-Harrison - Late,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,10/20/1938,,1,"Type-4: Relative Abundance, medium resolution",28
1938,Nechako,Francois Lake,T3,Francois-Fraser - Summer,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,9/12/1938,,1,"Type-4: Relative Abundance, medium resolution",
1938,Quesnel,Roaring River,T3,Quesnel - Summer,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,9/10/1938,,1,"Type-4: Relative Abundance, medium resolution",6
1938,Early South Thompson,"Adams River, lower",T2,Shuswap - Early Summer,,,0,0,0,0,0,0,One survey; no sockeye observed.,Peak Live + Cummulative Dead,9/10/1938,,1,"Type-4: Relative Abundance, medium resolution",21
1938,Early Stuart,Kotsine River,T1,Takla-Trembleur - Early Stuart,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,9/1/1938,9/6/1938,2,"Type-4: Relative Abundance, medium resolution",1
1939,Chilcotin,Chilko River,T3,Chilko - Summer,Sep 27-30,30-Aug,2000,635,515,850,98,833,Minimum.,Peak Live + Cummulative Dead,8/30/1939,10/21/1939,23,"Type-3: Relative Abundance, high resolution",7
1939,Harrison-Lillooet,Big Silver Creek,T4,Harrison (D/S) - Late,,13-Sep,45,0,22,23,87.91,20,Minimum.  13-year avg. % spawn.,Peak Live + Cummulative Dead,9/13/1939,10/11/1939,2,"Type-5: Relative Abundance, low resolution",28
1939,Harrison-Lillooet,Birkenhead River,T4,Lillooet-Harrison - Late,Oct 1-5,10-Sep,15435,155,6112,9168,95,8710,Minimum.  Estimated sex ratio 40% M.,Mark & Recapture: Petersen,9/19/1939,11/10/1939,23,"Type-3: Relative Abundance, high resolution",10
1939,Lower Fraser,American Creek,T4,CU not identified,,,389,0,194,195,0,0,"Observed Nov 22, blocked fish.",,,,,,
1939,Lower Fraser,Coquihalla River,T4,CU not identified,Sep 20-25,5-Sep,41,0,20,21,79,17,,Peak Live + Cummulative Dead,9/30/1939,,1,"Type-4: Relative Abundance, medium resolution",
1939,Lower Fraser,Cultus Lake,T4,Cultus - Late,Nov 20-26,10-Oct,73189,2400,19224,51565,80.79,41660,,,,,,,11
1939,Lower Fraser,Widgeon Slough,T3,Widgeon - Summer,,,0,0,0,0,0,0,Three surveys; no sockeye observed. Observations done too early.,Peak Live + Cummulative Dead,9/19/1939,9/24/1939,3,"Type-4: Relative Abundance, medium resolution",27
1939,Lower Fraser,Silver Hope Creek,T4,CU not identified,,,268,0,134,134,0,0,,,,,,,
1939,Harrison-Lillooet,Bear Creek,T4,Harrison (D/S) - Late,,,0,0,0,0,0,0,None observed?,,,,,,28
1939,Harrison-Lillooet,Lillooet Slough,T4,Lillooet-Harrison - Late,,,0,0,0,0,0,0,"Present. 1,000 estimate.",Adults Present,10/9/1939,11/17/1939,4,"Type-4: Relative Abundance, medium resolution",28
1939,Seton-Anderson,Gates River,T2,Anderson-Seton - Early Summer,,,0,0,0,0,0,0,None observed?,,,,,,16
1939,Seton-Anderson,Portage Creek,T4,Seton - Late,,,0,0,0,0,0,0,Present. Six reported by local resident.,Adults Present,,,,,12
1939,Mid Fraser,Bridge River,T3,Middle Fraser - Summer,,,0,0,0,0,0,0,None observed?,,,,,,
1939,Seton-Anderson,Seton Creek,T3,CU not identified,,,0,0,0,0,0,0,,Peak Live + Cummulative Dead,11/7/1939,,1,"Type-4: Relative Abundance, medium resolution",
1939,Early South Thompson,Scotch Creek,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,15
1939,Early South Thompson,Anstey River,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,21
1939,Early South Thompson,Eagle River,T2,Shuswap - Early Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,21
1939,Early South Thompson,"Momich River, lower",T2,Shuswap - Early Summer,,,0,0,0,0,0,0,None Observed?,,,,,,21
1939,Early South Thompson,"Adams River, upper",T2,Shuswap - Early Summer,,,0,0,0,0,0,0,Not inspected?,,,,,,21
1939,Early South Thompson,Middle Shuswap River,T2,Shuswap - Early Summer,9-Sep,,6,0,3,3,95,3,6 observed. Seymour R. sex ratio & % spawn used.,,,,,,21
1939,Late South Thompson,South Thompson River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Two surveys; no sockeye observed.,Peak Live + Cummulative Dead,10/21/1939,11/3/1939,2,"Type-4: Relative Abundance, medium resolution",9
1939,Late South Thompson,Anstey River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1939,Late South Thompson,Eagle River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Two surveys; no sockeye observed. Fisheries Guardian supplied info.,Peak Live + Cummulative Dead,10/14/1939,11/13/1939,2,"Type-4: Relative Abundance, medium resolution",9
1939,Late South Thompson,Momich River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1939,Late South Thompson,Sinmax Creek,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1939,Late South Thompson,Scotch Creek,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Nine surveys; no sockeye observed.,Peak Live + Cummulative Dead,10/6/1939,11/14/1939,9,"Type-3: Relative Abundance, high resolution",9
1939,Late South Thompson,Seymour River,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,Not inspected?,,,,,,9
1939,Late South Thompson,Shuswap Lake,T4,Shuswap Complex - Late,,,0,0,0,0,0,0,,Peak Live + Cummulative Dead,11/1/1939,,1,"Type-4: Relative Abundance, medium resolution",9
