"DataSet","Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","Recruits_Total","Recruits_Wild","CU_ID_Report","Abd_StartYr","UseYear"
"Sk_Fraser","Sockeye",1959,25819.2516,14614,25819.2516,14614,"CU_1","Bowron_ES","TBD",61854,61854,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1960,6726.936,3506,6726.936,3506,"CU_1","Bowron_ES","TBD",17729,17729,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1961,6575.9772,3675,6575.9772,3675,"CU_1","Bowron_ES","TBD",28148,28148,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1962,5549.2808,3219,5549.2808,3219,"CU_1","Bowron_ES","TBD",21321,21321,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1963,19275.6047,11467,19275.6047,11467,"CU_1","Bowron_ES","TBD",214288,214288,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1964,1324.2,690,1324.2,690,"CU_1","Bowron_ES","TBD",27507,27507,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1965,2127.2,1170,2127.2,1170,"CU_1","Bowron_ES","TBD",17799,17799,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1966,2092.584,1151,2092.584,1151,"CU_1","Bowron_ES","TBD",22249,22249,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1967,27980.346,13991,27980.346,13991,"CU_1","Bowron_ES","TBD",206370,206370,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1968,3419.617,1710,3419.617,1710,"CU_1","Bowron_ES","TBD",43543,43543,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1969,3872,1936,3872,1936,"CU_1","Bowron_ES","TBD",17211,17211,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1970,873.306,497,873.306,497,"CU_1","Bowron_ES","TBD",15826,15826,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1971,19964.151,10761,19964.151,10761,"CU_1","Bowron_ES","TBD",124507,124507,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1972,3653.0264,1969,3653.0264,1969,"CU_1","Bowron_ES","TBD",16971,16971,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1973,4023.8024,2012,4023.8024,2012,"CU_1","Bowron_ES","TBD",10662,10662,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1974,1850,1046,1850,1046,"CU_1","Bowron_ES","TBD",17431,17431,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1975,26219.16,14735,26219.16,14735,"CU_1","Bowron_ES","TBD",122376,122376,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1976,2037.15,1069,2037.15,1069,"CU_1","Bowron_ES","TBD",7112,7112,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1977,2207,1214,2207,1214,"CU_1","Bowron_ES","TBD",15396,15396,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1978,2772.8748,1678,2772.8748,1678,"CU_1","Bowron_ES","TBD",40627,40627,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1979,30898,16178,30898,16178,"CU_1","Bowron_ES","TBD",29984,29984,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1980,2638.7492,1376,2638.7492,1376,"CU_1","Bowron_ES","TBD",45170,45170,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1981,1032.876,562,1032.876,562,"CU_1","Bowron_ES","TBD",16532,16532,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1982,1647,990,1647,990,"CU_1","Bowron_ES","TBD",5277,5277,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1983,5805.9,3484,5805.9,3484,"CU_1","Bowron_ES","TBD",38132,38132,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1984,9562.4001,4909,9562.4001,4909,"CU_1","Bowron_ES","TBD",50591,50591,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1985,5845.6695,3030,5845.6695,3030,"CU_1","Bowron_ES","TBD",19177,19177,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1986,2850.1638,1396,2850.1638,1396,"CU_1","Bowron_ES","TBD",21198,21198,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1987,11071,5660,11071,5660,"CU_1","Bowron_ES","TBD",22460,22460,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1988,12464.334,7405,12464.334,7405,"CU_1","Bowron_ES","TBD",13050,13050,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1989,2534,1367,2534,1367,"CU_1","Bowron_ES","TBD",12842,12842,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1990,7513.374,5065,7513.374,5065,"CU_1","Bowron_ES","TBD",31130,31130,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1991,4919,2460,4919,2460,"CU_1","Bowron_ES","TBD",48625,48625,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1992,2560,1117,2560,1117,"CU_1","Bowron_ES","TBD",12869,12869,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1993,1184,592,1184,592,"CU_1","Bowron_ES","TBD",20467,20467,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1994,4380,1845,4380,1845,"CU_1","Bowron_ES","TBD",10849,10849,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1995,27557.6919,13467,27557.6919,13467,"CU_1","Bowron_ES","TBD",27351,27351,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1996,8146.5664,4055,8146.5664,4055,"CU_1","Bowron_ES","TBD",26776,26776,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1997,4755.1924,2119,4755.1924,2119,"CU_1","Bowron_ES","TBD",5024,5024,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1998,4751,2830,4751,2830,"CU_1","Bowron_ES","TBD",17001,17001,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1999,8238,3295,8238,3295,"CU_1","Bowron_ES","TBD",19734,19734,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2000,12480.384,6720,12480.384,6720,"CU_1","Bowron_ES","TBD",25283,25283,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2001,5504.9166,2752,5504.9166,2752,"CU_1","Bowron_ES","TBD",6825,6825,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2002,8432.355,4505,8432.355,4505,"CU_1","Bowron_ES","TBD",7674,7674,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2003,6076.8,3038,6076.8,3038,"CU_1","Bowron_ES","TBD",3792,3792,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2004,916,458,916,458,"CU_1","Bowron_ES","TBD",6090,6090,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2005,1730,866,1730,866,"CU_1","Bowron_ES","TBD",2259,2259,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2006,1432.1664,636,1432.1664,636,"CU_1","Bowron_ES","TBD",17435,17435,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2007,2132.3649,1075,2132.3649,1075,"CU_1","Bowron_ES","TBD",8364,8364,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2008,773.3475,275,773.3475,275,"CU_1","Bowron_ES","TBD",783,783,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2009,1687.2014,843,1687.2014,843,"CU_1","Bowron_ES","TBD",6112,6112,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2010,8189.2056,4095,8189.2056,4095,"CU_1","Bowron_ES","TBD",24716,24716,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2011,3991.0932,2037,3991.0932,2037,"CU_1","Bowron_ES","TBD",5280,5280,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2012,59,30,59,30,"CU_1","Bowron_ES","TBD",186,186,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2013,3225.0814,1924,3225.0814,1924,"CU_1","Bowron_ES","TBD",510,510,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2014,11418.576,6252,11418.576,6252,"CU_1","Bowron_ES","TBD",NA,NA,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2015,3458.038,2211,3458.038,2211,"CU_1","Bowron_ES","TBD",NA,NA,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2016,143,72,143,72,"CU_1","Bowron_ES","TBD",NA,NA,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2017,244,122,244,122,"CU_1","Bowron_ES","TBD",NA,NA,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2018,8300.925,4846,8300.925,4846,"CU_1","Bowron_ES","TBD",NA,NA,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",2019,20,10,20,10,"CU_1","Bowron_ES","TBD",NA,NA,"CU-1",1950,TRUE
"Sk_Fraser","Sockeye",1950,15141.0384,6555,15141.0384,6555,"CU_6","Chilko_S_ES","TBD",187983,187983,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1951,99134.8632,57563,99134.8632,57563,"CU_6","Chilko_S_ES","TBD",665674,665674,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1952,434112.99,233628,434112.99,233628,"CU_6","Chilko_S_ES","TBD",1799904,1799904,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1953,173397.024,94471,173397.024,94471,"CU_6","Chilko_S_ES","TBD",528558,528558,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1954,33370.008,21247,33370.008,21247,"CU_6","Chilko_S_ES","TBD",636547,636547,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1955,114018.147,75834,114018.147,75834,"CU_6","Chilko_S_ES","TBD",1438974,1438974,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1956,617148.324,368607,617148.324,368607,"CU_6","Chilko_S_ES","TBD",2396538,2396538,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1957,137827.0656,83128,137827.0656,83128,"CU_6","Chilko_S_ES","TBD",120511,120511,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1958,119983.896,70433,119983.896,70433,"CU_6","Chilko_S_ES","TBD",291933,291933,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1959,462226.492,272891,462226.492,272891,"CU_6","Chilko_S_ES","TBD",2099156,2099156,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1960,422280.54,244864,422280.54,244864,"CU_6","Chilko_S_ES","TBD",964857,964857,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1961,24930.7976,15038,24930.7976,15038,"CU_6","Chilko_S_ES","TBD",64296,64296,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1962,66133.763,42125,66133.763,42125,"CU_6","Chilko_S_ES","TBD",974191,974191,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1963,105113.7243,57207,105113.7243,57207,"CU_6","Chilko_S_ES","TBD",1116906,1116906,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1964,233125.3248,131590,233125.3248,131590,"CU_6","Chilko_S_ES","TBD",1874731,1874731,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1965,31918.1055,20813,31918.1055,20813,"CU_6","Chilko_S_ES","TBD",140915,140915,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1966,196538.7744,107541,196538.7744,107541,"CU_6","Chilko_S_ES","TBD",772105,772105,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1967,153941.3865,90006,153941.3865,90006,"CU_6","Chilko_S_ES","TBD",1956680,1956680,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1968,312879.672,181912,312879.672,181912,"CU_6","Chilko_S_ES","TBD",2371300,2371300,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1969,42661.7334,25519,42661.7334,25519,"CU_6","Chilko_S_ES","TBD",385793,385793,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1970,95881.7816,50923,95881.7816,50923,"CU_6","Chilko_S_ES","TBD",631130,631130,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1971,153752.7934,97365,153752.7934,97365,"CU_6","Chilko_S_ES","TBD",740253,740253,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1972,555360.029,332353,555360.029,332353,"CU_6","Chilko_S_ES","TBD",1981889,1981889,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1973,54489.1225,30231,54489.1225,30231,"CU_6","Chilko_S_ES","TBD",207582,207582,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1974,106665.7581,71127,106665.7581,71127,"CU_6","Chilko_S_ES","TBD",645809,645809,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1975,215526.7066,133782,215526.7066,133782,"CU_6","Chilko_S_ES","TBD",1396383,1396383,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1976,377998.1718,228326,377998.1718,228326,"CU_6","Chilko_S_ES","TBD",1676112,1676112,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1977,35070.1029,20385,35070.1029,20385,"CU_6","Chilko_S_ES","TBD",193270,193270,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1978,146139.3302,85570,146139.3302,85570,"CU_6","Chilko_S_ES","TBD",1246777,1246777,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1979,228187.5757,147920,228187.5757,147920,"CU_6","Chilko_S_ES","TBD",1687672,1687672,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1980,462783.4966,293234,462783.4966,293234,"CU_6","Chilko_S_ES","TBD",4394455,4394455,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1981,32365.012,20164,32365.012,20164,"CU_6","Chilko_S_ES","TBD",185203,185203,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1982,241873.0465,142515,241873.0465,142515,"CU_6","Chilko_S_ES","TBD",1487694,1487694,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1983,361700.0928,213715,361700.0928,213715,"CU_6","Chilko_S_ES","TBD",1753748,1753748,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1984,560390.0277,283152,560390.0277,283152,"CU_6","Chilko_S_ES","TBD",503604,503604,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1985,71274.937,34979,71274.937,34979,"CU_6","Chilko_S_ES","TBD",550437,550437,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1986,276193.7101,165504,276193.7101,165504,"CU_6","Chilko_S_ES","TBD",4692771,4692771,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1987,400877.5385,268111,400877.5385,268111,"CU_6","Chilko_S_ES","TBD",4349335,4349335,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1988,355839.7741,206206,355839.7741,206206,"CU_6","Chilko_S_ES","TBD",3137460,3137460,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1989,62298.1158,42811,62298.1158,42811,"CU_6","Chilko_S_ES","TBD",3101966,3101966,"CU-6",1950,TRUE
"Sk_Fraser","Sockeye",1990,807878.9824,497991,807878.9824,497991,"CU_6","Chilko_S_ES","TBD",2591261,2591261,"CU-6",1950,TRUE
