"","Pop_Name","Year","SpnForTrend_Total","Pop_ID","CU_ID","CU_Name","DU_ID","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Species","Recruits_Total","Recruits_Wild"
"70","BONAPARTE RIVER",1983,793,"46202","PKO-01","Fraser Pink",NA,793,793,793,"Pink",NA,NA
"71","BONAPARTE RIVER",1981,1503,"46202","PKO-01","Fraser Pink",NA,1503,1503,1503,"Pink",NA,NA
"72","BONAPARTE RIVER",1965,1750,"46202","PKO-01","Fraser Pink",NA,1750,1750,1750,"Pink",NA,NA
"73","BONAPARTE RIVER",1989,608,"46202","PKO-01","Fraser Pink",NA,608,608,608,"Pink",NA,NA
"74","BONAPARTE RIVER",1973,939,"46202","PKO-01","Fraser Pink",NA,939,939,939,"Pink",NA,NA
"75","BORDEN CREEK",1985,55,"47032","PKO-01","Fraser Pink",NA,55,55,55,"Pink",NA,NA
"76","BORDEN CREEK",1983,0,"47032","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"77","BORDEN CREEK",1991,0,"47032","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"78","BORDEN CREEK",1989,0,"47032","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"79","BORDEN CREEK",1987,0,"47032","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"80","BRIDGE RIVER",1985,61755,"47225","PKO-01","Fraser Pink",NA,61755,61755,61755,"Pink",NA,NA
"81","BRIDGE RIVER",1987,44200,"47225","PKO-01","Fraser Pink",NA,44200,44200,44200,"Pink",NA,NA
"82","BRIDGE RIVER",1989,104000,"47225","PKO-01","Fraser Pink",NA,104000,104000,104000,"Pink",NA,NA
"83","BRIDGE RIVER",1983,41909,"47225","PKO-01","Fraser Pink",NA,41909,41909,41909,"Pink",NA,NA
"84","BRIDGE RIVER",1971,8817,"47225","PKO-01","Fraser Pink",NA,8817,8817,8817,"Pink",NA,NA
"85","BRIDGE RIVER",1965,23657,"47225","PKO-01","Fraser Pink",NA,23657,23657,23657,"Pink",NA,NA
"86","BRIDGE RIVER",1979,65759,"47225","PKO-01","Fraser Pink",NA,65759,65759,65759,"Pink",NA,NA
"87","BRIDGE RIVER",1969,13034,"47225","PKO-01","Fraser Pink",NA,13034,13034,13034,"Pink",NA,NA
"88","BRIDGE RIVER",1967,6547,"47225","PKO-01","Fraser Pink",NA,6547,6547,6547,"Pink",NA,NA
"89","BRIDGE RIVER",1991,184327,"47225","PKO-01","Fraser Pink",NA,184327,184327,184327,"Pink",NA,NA
"90","BRIDGE RIVER",1975,10803,"47225","PKO-01","Fraser Pink",NA,10803,10803,10803,"Pink",NA,NA
"91","BRIDGE RIVER",1981,43940,"47225","PKO-01","Fraser Pink",NA,43940,43940,43940,"Pink",NA,NA
"92","BRIDGE RIVER",1957,0,"47225","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"93","BRIDGE RIVER",1959,1201,"47225","PKO-01","Fraser Pink",NA,1201,1201,1201,"Pink",NA,NA
"94","BRIDGE RIVER",1961,1895,"47225","PKO-01","Fraser Pink",NA,1895,1895,1895,"Pink",NA,NA
"95","BRIDGE RIVER",1963,6422,"47225","PKO-01","Fraser Pink",NA,6422,6422,6422,"Pink",NA,NA
"96","BRIDGE RIVER",1973,23738,"47225","PKO-01","Fraser Pink",NA,23738,23738,23738,"Pink",NA,NA
"97","BRIDGE RIVER",1977,25800,"47225","PKO-01","Fraser Pink",NA,25800,25800,25800,"Pink",NA,NA
"98","CAYOOSH CREEK",1985,6620,"47205","PKO-01","Fraser Pink",NA,6620,6620,6620,"Pink",NA,NA
"99","CAYOOSH CREEK",1987,37705,"47205","PKO-01","Fraser Pink",NA,37705,37705,37705,"Pink",NA,NA
"100","CAYOOSH CREEK",1983,36746,"47205","PKO-01","Fraser Pink",NA,36746,36746,36746,"Pink",NA,NA
