"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"Lower Thompson",2000,"Tranquille R",NA,44975,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Bonaparte R",136,46200,NA,136,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Clapperton Cr",29,44965,NA,29,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Coldwater R",4600,46190,NA,4600,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Deadman R",861,46210,NA,861,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Guichon Cr",101,128,NA,101,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Nicola R (dam)",21,44736,NA,21,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Nicola R (dot)",56,46170,NA,56,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Spius Cr",3910,46180,NA,3910,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2001,"Tranquille R",15,44975,NA,15,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Bonaparte R",600,46200,NA,600,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Clapperton Cr",30,44965,NA,30,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Coldwater R",5661,46190,NA,5661,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Deadman R",4214,46210,NA,4214,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Guichon Cr",111,128,NA,111,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Nicola R (dam)",0,44736,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Nicola R (dot)",55,46170,NA,55,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Spius Cr",5575,46180,NA,5575,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2002,"Tranquille R",3,44975,NA,3,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Bonaparte R",289,46200,NA,289,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Clapperton Cr",0,44965,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Coldwater R",1194,46190,NA,1194,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Deadman R",1005,46210,NA,1005,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Guichon Cr",23,128,NA,23,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Nicola R (dam)",0,44736,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Nicola R (dot)",3,46170,NA,3,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Spius Cr",400,46180,NA,400,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2003,"Tranquille R",45,44975,NA,45,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Bonaparte R",132,46200,NA,132,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Clapperton Cr",0,44965,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Coldwater R",1267,46190,NA,1267,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Deadman R",1409,46210,NA,1409,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Guichon Cr",71,128,NA,71,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Nicola R (dam)",NA,44736,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Nicola R (dot)",NA,46170,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Spius Cr",1480,46180,NA,1480,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2004,"Tranquille R",16,44975,NA,16,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Bonaparte R",308,46200,NA,308,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Clapperton Cr",NA,44965,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Coldwater R",935,46190,NA,935,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Deadman R",1141,46210,NA,1141,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Guichon Cr",NA,128,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Nicola R (dam)",NA,44736,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Nicola R (dot)",NA,46170,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Spius Cr",222,46180,NA,222,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2005,"Tranquille R",8,44975,NA,8,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Bonaparte R",289,46200,NA,289,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Clapperton Cr",NA,44965,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Coldwater R",300,46190,NA,300,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Deadman R",177,46210,NA,177,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Guichon Cr",NA,128,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Nicola R (dam)",NA,44736,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Nicola R (dot)",NA,46170,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Spius Cr",316,46180,NA,316,NA,NA,NA,"CO_03",NA
