"","Pop_Name","Pop_ID","MapPOP_ID","CU_ID","CU_Name.Check","Timing.Group","DU_ID"
"253","North Boise Creek",7691,7691,"L-03-05","PITT-EARLY SUMMER TIMING","t2",NA
"254","North Thompson River",46580,46580,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"255","O'Ne-ell Creek",45570,45570,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"256","Olsen Creek",1874,NA,NA,NA,"t2",NA
"257","Onyx Creek",46298,46298,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"258","Onyx Creek",46299,46299,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"259","Onyx Creek - shore",3399,3399,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"260","Opa Beach",3378,3378,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"261","Ormond Creek",46023,NA,NA,NA,"t3",NA
"262","Paula Creek",45557,45557,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"263","Pemberton Creek",46112,46112,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"264","Penfold Camp Shore",3379,3379,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"265","Penfold Creek",45060,45060,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"266","Peninsula Bay",3358,3358,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"267","Perry River",45026,45026,"L-09-02","SHUSWAP COMPLEX-EARLY SUMMER TIMING","t2",NA
"268","Perry River",45027,45027,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"269","Pinchi Creek",45539,45539,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING","t3",NA
"270","Pitt Lake",45095,45095,"L-03-05","PITT-EARLY SUMMER TIMING","t4",NA
"271","Point Creek",45585,45585,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"272","Pomeroy Creek",3220,NA,"L-07-01","BOWRON-EARLY SUMMER TIMING","t2",NA
"273","Poole Creek",46102,46102,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
"274","Popal Creek",45526,NA,NA,NA,"t2",NA
"275","Portage Creek",47181,47181,"L-06-11","SETON-LATE TIMING","t4",NA
"276","Porter Creek",45602,45602,"L-06-14","TAKLA/TREMBLEUR-EARLY STUART TIMING","t1",NA
"277","Quartz Point",3356,3356,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"278","Queest Creek - shore",3391,3391,"L-09-03","SHUSWAP COMPLEX-LATE TIMING","t4",NA
"279","Quesnel Lake",45099,45099,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"280","Quesnel River",46873,46873,"L-06-10","QUESNEL-SUMMER TIMING","t3",NA
"281","Raft Creek",45038,NA,NA,NA,"t3",NA
"282","Raft River",46710,46710,"L-10-01","KAMLOOPS-EARLY SUMMER TIMING","t3",NA
"283","Railroad Creek",46147,46147,"L-04-01","LILLOOET/HARRISON-LATE TIMING","t4",NA
